src,VID_Candidate,mt,ref,score,year,system
"‘This place is older than Sumer by a thousand years’, says Boyadzhiev, bearing in mind the generally accepted view that urban culture originated in Southern Mesopotamia, which is modern Iraq.",bear in mind,"‘Это место более старое, чем Шумер на тысячу лет’, говорит Бояджиев, принимая во внимание общепринятое представление, что городская культура произошла в южной Месопотамии, которая является современным Ираком.","""Это место старше Шумера на тысячу лет"", - говорит Бояджиев, имея в виду общепринятое мнение, что городская культура зародилась на юге Месопотамии - современный Ирак.",0.969372557251527,2017,REFERENCE
"Floor boards had been pulled up in the property, from which drugs had been dealt in the past",pull up,"Половицы потянулись в собственности, от которой с наркотиками имели дело в прошлом","Доски пола в доме, в котором в прошлом продавались наркотики, были выдернуты",0.865966677800033,2017,REFERENCE
"With its lens tool, Snapchat allows some 150 million daily users to alter reality and play with identity in ways that border on the absurd.",play with identity,"С ее инструментом линзы Snapchat позволяет приблизительно 150 миллионам ежедневных пользователей изменять действительность и играть с идентичностью способами, которые граничат с абсурдным.","При помощи инструмента ""Линзы"" Snapchat позволяет примерно 150 миллионам пользователей в день изменять действительность и играть с индивидуальностью способами, которые граничат с абсурдом.",0.969372557251527,2017,REFERENCE
"If Cossack classes incorporate everything positive that has been previously accumulated and take it to a whole new level, then I will be pleased.",take it,"Если казацкие классы включают все положительное, это было ранее накоплено и берет его к совершенно новому уровню, то я буду радоваться.","Если казачьи классы вберут в себя все позитивное, что накоплено ранее, на качественно новом уровне, буду рад.",0.969372557251527,2017,REFERENCE
"Earlier, it came to light that Putin had removed Sergei Ivanov from the post of chief of staff of the Presidential Executive Office, with Anton Vaino appointed as his successor.",come to light,"Ранее, это обнаружилось, что Путин снял Сергея Иванова с должности начальника штаба Администрации Президента с Антоном Вайно, назначенным его преемником.","Ранее стало известно, что Путин снял с должности главу администрации президента Сергея Иванова, его преемником назначен Антон Вайно.",1.3782857562829,2017,REFERENCE
"Like many pop cultural phenomena it had gone off the boil somewhat before this new game was made available in the US, Australia and New Zealand in early July.",go off the boil,"Как многие суют культурные явления, это ушло кипение несколько, прежде чем эта новая игра была сделана доступной в США, Австралии и Новой Зеландии в начале июля.","Как и многие другие поп-культурные явления, всё это утратило былую актуальность несколько раньше, чем эта новая игра стала доступна в США, Австралии и Новой Зеландии в начале июля.",0.969372557251527,2017,REFERENCE
This latest protest comes just days after protesters took to the streets en masse to support suspended President Dilma Rousseff as the country's senate voted for her impeachment.,take to the street,"Этот последний протест происходит только спустя дни после того, как протестующие вышли на улицы в массе, чтобы поддержать временно отстраненного президента Дилму Русеф как Сенат страны, проголосовавший за ее импичмент.","Этот последний протест случился всего через несколько дней после того, как протестующие массово вышли на улицы, чтобы поддержать отстранённого президента Дилму Русеф, когда сенат страны проголосовал за её импичмент.",0.969372557251527,2017,REFERENCE
He came to me in the studio and recorded his parts.,come to [pron],Он пришел ко мне в студию и записал свои партии.,"Он приезжал ко мне в студию, записывал свои партии.",1.81774887069488,2018,REFERENCE
"The Australian prime minister (threatening sanctions), international human rights advocates, and even the Pope came to his defense.",come to [pron] defense,"На его защиту пришли премьер-министр Австралии (угрожая санкциями), международные правозащитники и даже Папа Римский.","В его защиту выступили австралийский премьер, угрожая санкциями, международные правозащитники и даже папа Римский.",1.61964968494532,2018,REFERENCE
"The man reported the theft of expensive tools from the workshop, which dealt a serious blow to his business.",deal to [pron] business,"Мужчина сообщил о краже дорогих инструментов из мастерской, что нанесло серьезный удар по его бизнесу.","Мужчина заявил о краже дорогих инструментов из цеха, что причинило серьезный ущерб его производству.",1.68802460145893,2018,REFERENCE
"Furthermore, Loza believes that Manson needs to get “punched in the face” for his words.",punch for [pron] word,"Кроме того, Лоза считает, что Мэнсону нужно ""ударить по лицу"" за его слова.","Кроме того, Лоза считает, что Мэнсону за его слова нужно ""дать в морду"".",1.24616543637608,2018,REFERENCE
"New York Attorney General Eric Schneiderman, who led the coalition of states that sued the EPA this week, said the group intends to keep up the legal pressure.",keep up,"Генеральный прокурор Нью-Йорка Эрик Шнайдерман, возглавлявший коалицию государств, которые подали в суд на EPA на этой неделе, заявил, что группа намерена продолжать юридическое давление.","Генеральный прокурор Нью-Йорка Эрик Шнейдерман, который возглавлял коалицию штатов, подавших на этой неделе иск против EPA, сказал, что группа намеревается продолжать юридическое давление.",1.65349206183678,2018,REFERENCE
"As a result, ""Whose Streets?"" documents surprisingly personal aspects of Ferrell's life, like falling in love and marrying her wife.",fall in love,"В результате, ""Чьи улицы?"" документирует удивительно личные аспекты жизни Феррелла, как влюбиться и жениться на своей жене.","В результате в «Чьи улицы?» показаны неожиданно личные аспекты жизни Феррел, например, то, как она влюбилась и заключила брак со своей женой.",0.405415949739083,2018,REFERENCE
"The Australian prime minister (threatening sanctions), international human rights advocates, and even the Pope came to his defense.",come to [pron] defense,"На его защиту пришли премьер-министр Австралии (угрожая санкциями), международные правозащитники и даже Папа Римский.","В его защиту выступили австралийский премьер, угрожая санкциями, международные правозащитники и даже папа Римский.",1.39347037177665,2018,REFERENCE
"Troops fired on a peaceful demonstration at the plaza on Oct. 2, 1968, killing as many as 300 people at a time when leftist student movements were taking root throughout Latin America.",take root,"Войска открыли огонь по мирной демонстрации на площади 2 октября 1968 года, убив до 300 человек в то время, когда левые студенческие движения пускали корни по всей Латинской Америке.","Войска подвергли обстрелу мирную демонстрацию 2 октября 1968 года, убив сразу около 300 человек, когда левые студенческие движения укоренялись по всей Латинской Америке. Войска обстреляли мирную демонстрацию 2 октября 1968 года, убив сразу около 300 человек, когда левые студенческие движения укоренялись по всей Латинской Америке.",-1.74564848162615,2019,HUMAN
