src,VID_Candidate,mt,ref,score,year,system
"""This is not solely to protect against electoral fraud, but to protect local government from the broader culture of corruption and financial fraud that goes hand in hand with it,"" he said.",go with [pron],"""Nejde jen o ochranu před volebními podvody, ale o ochranu místní vlády před širší kulturou korupce a finančních podvodů, které s ní jdou ruku v ruce,"" dodal.","„Nejedná se pouze o ochranu proti volebním podvodům, ale také o ochranu místní vlády před širším korupčním prostředím a finančními podvody, které s tím jdou ruku v ruce,“ řekl.",0.773717790034998,17,uedin-nmt
An option would be simply to load in onto a truck and take it away.,take it,Možností by bylo jednoduše naložit do kamionu a odvézt ho pryč.,Třeba ho naložit a odvézt pryč.,1.06218032015345,17,uedin-nmt
"Back when it all started, and I was taking it very badly, I once said to her that I no longer wanted to live and asked how she would feel if I ended it.",take it,"Když to všechno začalo a já to brala velmi špatně, jednou jsem jí řekla, že už nechci žít a ptala se, jak by se cítila, kdybych to ukončila.","Už tehdy, když to začalo a já to velmi špatně nesl, jsem jí jednou řekl, že se mi nechce žít a zeptal jsem se, co by řekla tomu, kdybych to skončil.",0.137180764153233,17,uedin-nmt
"Did you encounter any complications during the realisation phase, which forced you to abandon some of the original ideas or come up with new ones?",come up,"Narazili jste během fáze realizace na nějaké komplikace, které vás donutily opustit některé původní myšlenky nebo přijít s novými?","Objevily se při realizaci nějaké komplikace, kvůli kterým jste se museli původních nápadů vzdát, nebo naopak přistoupit na nové?",1.10195478808883,17,uedin-nmt
"He went there with me, and I told him that I received an anonymous letter accusing him of having an affair with my wife, and that I was inclined to believe it.",go with [pron],"Šel tam se mnou a já mu řekl, že jsem dostal anonymní dopis, který ho obvinil z toho, že má poměr s mou ženou, a že tomu věřím.","Šel tam se mnou a já mu řekl, že jsem dostal anonym, že se schází s mou ženou a že tomu všechno nasvědčuje.",1.0646103822668445,17,uedin-nmt
How did you deal with it?,deal with [pron],Jak jste se s tím vyrovnával?,Jak jste se s tím srovnal?,1.12571463169706,17,uedin-nmt
"I hope that they will ask the official to pay for all the checks that came to nothing because of his activities, so that he realises what he has done.",come to [pron],"Doufám, že požádají úředníka, aby zaplatil všechny kontroly, které kvůli jeho aktivitám nic nepřinesly, aby si uvědomil, co udělal.","Doufám, že tomu úředníkovi naúčtují do poslední kontroly všechny zmařené kontroly, aby si uvědomil, co udělal.",1.0881749194010149,17,uedin-nmt
"I think that (Kadiza) interpreted it as a warning and decided to play it safe"" said Akunjee according to the BBC.",play it,"Myslím, že to (Kadiza) interpretoval jako varování a rozhodl se ji hrát bezpečně ""uvedl Akunjee podle BBC.","Myslím, že si to (Kadiza) vyložila jako varování a rozhodla se neriskovat, míní podle BBC Akunjee.",-0.900149304413913,17,uedin-nmt
"I'll sleep on it and from tomorrow, I will only remember the positive aspects of the Olympic tournament.",sleep on [pron] and from tomorrow,Vyspím se na to a od zítřka budu vzpomínat jen na pozitivní stránky olympijského turnaje.,Sluková: Já se z toho vyspím a od zítřka budu na olympijský turnaj vzpomínat jen pozitivně.,-0.265229612166562,17,uedin-nmt
"Many public health campaigns to get people to ""find 30,"" ""get off the couch"" and ""be active everyday"" have fallen on deaf ears because most public health messages are boring and delivered by people who look miserable.",get off the couch,"Mnohé veřejné zdravotnické kampaně, které mají přimět lidi k tomu, aby ""našli 30"", ""slezte z gauče"" a ""buďte aktivní každodenně"", padly na hluché uši, protože většina veřejných zdravotních zpráv je nudná a doručuje lidi, kteří vypadají bídně.","Mnoho veřejných kampaní usilujících o to, aby lidé „našli 30“, „zvedli se z gauče“ a „byli aktivní každý den“ padlo na neúrodnou půdu, protože většina poselství zaměřených na veřejné zdraví je nudná a určená lidem, kteří nevypadají dobře.",0.754276185972759,17,uedin-nmt
"Ms. Oliveira, 34, used to live in Williamsburg and went to Verb frequently.",go to verb,"Paní Oliveirová, 34 let, žila ve Williamsburgu a chodila do Verbu často.",Paní Oliveirová (34) žila ve Williamsburgu a do Verb Cafe chodila často.,0.932468050472438,17,uedin-nmt
One Twitter user took to the site recently to declare her happiness that 'the rest of the internet thinks that Hope Solo and Jennifer Carpenter are actually identical.',take to the site,"Jeden uživatel Twitteru se nedávno dostal na místo, aby prohlásil své štěstí, že ""zbytek internetu si myslí, že Hope Solo a Jennifer Carpenterová jsou vlastně identické.""","Jedna uživatelka Twitteru před nedávnem na stránkách vyjádřila svou spokojenost nad tím, že „zbytek Internetu si myslí, že Hope Solová a Jennifer Carpenterová jsou v pravdě identické.“",-0.0806025132715683,17,uedin-nmt
"She hasn't lost an all-around competition since the summer of 2013, a winning streak that should go for as long as Biles wants it to.",go for,"Od léta 2013 neprohrála všestrannou soutěž, vítěznou sérii, která by měla jet tak dlouho, jak chce Bilesová.","Soutěž ve víceboji neprohrála od léta 2013 - to je sled vítězství, který může pokračovat tak dlouho, jak Bilesová bude chtít.",0.359180657593284,17,uedin-nmt
"Shell, for its part, has trimmed thousands of people from its payroll and announced plans to leave oil and gas operations in up to 10 countries as it streamlines its operations in the wake of its mega-merger with British energy company BG Group.",trim for [pron] part,"Shell podle něj osekal tisíce lidí ze své výplatní pásky a oznámil, že plánuje opustit ropné a plynové operace až v deseti zemích, protože zefektivňuje své operace v návaznosti na svou megafúzi s britskou energetickou společností BG Group.",Na druhé straně Shell vyškrtl ze svých výplatních listin tisíce lidí a oznámil plány na opuštění operací na poli ropy a zemního plynu až v 10 zemích kvůli modernizaci svých procesů - bezprostředně po mega fúzi s britskou energetickou společností BG Group.,1.04026907134811,17,uedin-nmt
"The flat is on the top floor of a new development, which made it possible to come up with a completely new layout and several other modifications.",come up,"Byt je v horním patře nového vývoje, díky němuž bylo možné přijít se zcela novým rozložením a několika dalšími úpravami.","Byt je v posledním patře novostavby, proto bylo možné v rámci stavby provést kompletně nové dispoziční řešení a několik dalších úprav.",0.51114685068437,17,uedin-nmt
"The incident triggered quite a response online, with people calling it a scandal.",call it,"Incident vyvolal docela odezvu on-line, přičemž lidé to označili za skandál.","Událost vyvolala silnou reakci online, lidé ji označili za skandální.",0.492744217614037,17,uedin-nmt
The taxi driver put a sticker over the decimal on the clock to lift 357 crowns from tourists.,put on the clock,"Taxikář položil samolepku přes desetinnou čárku na hodiny, aby zvedl 357 korun od turistů.",Taxikář na taxametru přelepil desetinnou čárku a okradl turisty o 357 korun.,-0.570896239968687,17,uedin-nmt
The window of opportunity to make any positive changes has definitely closed at the turn of the millennium when the former KGB (sic!) officer Vladimir Putin came to power.,come to power,"Okno příležitosti k případným pozitivním změnám definitivně uzavřelo na přelomu tisíciletí, kdy se k moci dostal bývalý důstojník KGB (sic!) Vladimir Putin.","Okno možných pozitivních změn se definitivně uzavřelo na přelomu tisíciletí, když se k moci dostal bývalý důstojník KGB (sic!)Vladimír Putin.",0.98460577886213,17,uedin-nmt
"When the conservative radio host Hugh Hewitt tried to help Mr. Trump soften the remark by reminding him that Mr. Obama wants to destroy ISIS, the Republican presidential nominee would not have it.",have it,"Když se konzervativní rozhlasový moderátor Hugh Hewitt snažil pomoci panu Trumpovi zmírnit poznámku tím, že mu připomněl, že pan Obama chce zničit ISIS, republikánský prezidentský kandidát by ji neměl.","Když se konzervativní rozhlasový moderátor Hugh Hewitt pokusil pomoci Trumpovi poznámku zmírnit připomenutím, že Obama usiluje o zničení IS, kandidát republikánů na prezidenta nereagoval.",0.691701878920048,17,uedin-nmt
"With its lens tool, Snapchat allows some 150 million daily users to alter reality and play with identity in ways that border on the absurd.",play with identity,"Se svým čočkovým nástrojem Snapchat umožňuje zhruba 150 milionům denních uživatelů měnit realitu a hrát si s identitou způsobem, který hraničí s absurditou.","Aplikace Snapchat každý den umožňuje asi 150 milionům uživatelů měnit realitu a pohrávat si s identitou způsoby, které hraničí s absurditou.",0.497306267976585,17,uedin-nmt
"""This is not solely to protect against electoral fraud, but to protect local government from the broader culture of corruption and financial fraud that goes hand in hand with it,"" he said.",go with [pron],"""Nejde pouze o ochranu před volebními podvody, ale o ochranu místní správy před širší kulturou korupce a finančních podvodů, které s ní souvisí,"" uvedl.","„Nejedná se pouze o ochranu proti volebním podvodům, ale také o ochranu místní vlády před širším korupčním prostředím a finančními podvody, které s tím jdou ruku v ruce,“ řekl.",1.24718023135349,17,online-B
"A knee to the groin follows, and while the attacker doubles up in pain, you twist the gun from his hands, smack him in the face with the barrel and back up, keeping the weapon trained on him.",train on [pron],"Koleno do slabin následuje a zatímco útočník zdvojnásobí bolesti, otočíte z ruky zbraně, přitisknete ho do tváře s hlavou a zase nahoru a udržujte zbraně na něm trénovanou.","Pak následuje koleno do slabin, a zatímco se útočník svíjí v bolestech, vykroutíte mu zbraň z ruky, udeříte jej hlavní do obličeje a začnete ustupovat, zbraň přitom budete držet namířenou na něj.",-0.558257469766372,17,online-B
All we do is to try and race at a pace nobody else can keep up with.,keep up,"Jediné, co děláme, je pokusit se závodit rychlostí, kterou nikdo jiný nedokáže udržet.","Jen se prostě snažíme jet tempo, které nikdo jiný nedokáže.",1.18026146478975,17,online-B
An option would be simply to load in onto a truck and take it away.,take it,Možností by bylo jednoduše zatížení na nákladní auto a jeho odvoz.,Třeba ho naložit a odvézt pryč.,-0.370216660343424,17,online-B
"Back when it all started, and I was taking it very badly, I once said to her that I no longer wanted to live and asked how she would feel if I ended it.",take it,"Když to všechno začalo, a já jsem to bral velmi špatně, jednou jsem jí řekl, že už nechci žít a zeptala se, jak by se cítila, kdybych to skončila.","Už tehdy, když to začalo a já to velmi špatně nesl, jsem jí jednou řekl, že se mi nechce žít a zeptal jsem se, co by řekla tomu, kdybych to skončil.",1.21891010842465,17,online-B
"Dan Norton grabbed a try for GB, touching down in the left corner to make it 36-7 but the game was long gone the way of the South Sea Islanders whose fans sang, waved flags and danced in the stands.",make it,"Dan Norton se pokusil o GB a dotkl se v levém rohu, aby to udělal 36-7, ale hra byla dlouho pryč cestou ostrovů jižního moře, jejichž fanoušci zpívali, mávali vlajkami a tančili ve stáncích.","Dan Norton se pokusil získat pro Brity příležitost, hodil touchdown do levého rohu na zvýšil an 36:7. Zápas už ale dávno vyhráli obyvatelé tichomořských ostrovů a jejich fanoušci na ochozech zpívali, mávali vlajkami a tancovali.",-0.837971359639816,17,online-B
