src,LVC_Candidate,mt,ref,score,year,system
He must also have a say in the decisions that impact the team's performance.,have say,"Er muss auch in den Entscheidungen, die Leistung des Teams beeinflussen, sagen.","Er muss auch ein Mitbestimmungsrecht bei Entscheidungen haben, die die Leistung des Teams beeinflussen.",1.12727142153235,2017,REFERENCE
A few weeks ago he gave a presentation at the Water Forum for the District of Lower Franconia as a true practitioner of the Veitensteingruppe's successful nitrate reduction concept.,give presentation,Vor einigen Wochen gab er eine Präsentation beim Wasserforum für den District von Niedersachsen als richtiges Praktiker des erfolgreichen Nitratreduktionskonzeptes der Veitensteingruppe.,Vor wenigen Wochen habe er als echter Praktiker das Erfolgskonzept der Veitensteingruppe zur Nitratsenkung vor dem Wasserforum des Bezirks Unterfranken präsentieren dürfen.,1.12727142153235,2017,REFERENCE
"Glover has a wedding to attend next month, her own to television adventurer Steve Backshall.",have wedding,"Glover hat eine Hochzeit im nächsten Monat, ihr eigenes für den TV-Abenteurer Steve Backshall.","Glover muss nächste Woche auf einer Hochzeit erscheinen, ihrer eigenen mit dem TV-Abenteurer Steve Backshall.",1.24475737737332,2017,REFERENCE
Team GB have come to rely on its mighty track cycling squad to take ownership of the middle period of an Olympic Games and deliver a host of medals.,take ownership,"Team-GB haben sich auf ihre mächtige Fahrbahn verlassen, um sich an der Mitte der Olympischen Spiele zu beteiligen und eine Vielzahl von Medaillen zu liefern.","Das GB Team verlässt sich auf sein starkes Bahnradteam, um die mittlere Periode der Olympischen Spiele zu dominieren und eine Schar an Medaillen zu holen.",1.34930179720262,2017,REFERENCE
"VW took on the guarantee that fuel consumption, CO2 emissions or motor performance would not get worse as a result of the modification, and all vehicle values relevant to type approval would remain unchanged.",take guarantee,"VW übernahm die Garantie, dass der Kraftstoffverbrauch, CO2-Emissionen oder Motorleistung infolge der Änderung nicht schlechter würden und alle Fahrzeugwerte, die für die Typgenehmigung relevant sind, unverändert bleiben würden.","VW hat die Garantie übernommen, dass bei Kraftstoffverbrauch, CO2-Emissionen oder Motorleistung nach der Umrüstung keine Verschlechterungen stattfinden und alle typgenehmigungsrelevanten Fahrzeugwerte unverändert Bestand haben.",1.37707956533788,2017,REFERENCE
"At the Defcon hacker conference, security researchers demonstrated how they could take control of a thermostat connected to the internet.",take control,"Auf der Defcon-Hacker-Konferenz haben Sicherheitsforscher gezeigt, wie sie die Kontrolle über einen mit dem Internet angeschlossenen Thermostat übernehmen könnten.","Auf der Hackerkonferenz Defcon demonstrierten Sicherheitsforscher, wie sie ein mit dem Internet verbundenes Thermostat unter ihre Kontrolle bekommen konnten.",1.14801144278375,2017,REFERENCE
"In August 1996, nobody had any idea that the Communicator heralded the start of the smartphone era.",have idea,"Im August 1996 hatte niemand eine Vorstellung davon, dass der Kommunicator den Start der Smartphone-Ära ankündigt.","Niemand konnte im August 1996 ahnen, dass der Communicator der Beginn der Smartphone-Ära werden würde.",1.14801144278375,2017,REFERENCE
"The company announced that Gerhard Hausruckinger, who is currently a member of the board of directors, will take over the management of the board on 1 September.",take management,"Das Unternehmen kündigte an, dass Gerhard Hausruckinger, der derzeit Vorstandsmitglied ist, am 1. September die Geschäftsführung übernehmen wird.","Die Führung im Vorstand übernehme bereits zum 1. September das bisherige Vorstandsmitglied Gerhard Hausruckinger, teilte das Unternehmen mit.",1.06281053932284,2017,REFERENCE
"While the state of emergency, declared for ninety days, will continue until October, it is having practically no effect on the lives of most Turks.",have effect,"Während der für neunzig Jahre gesagte Notstand bis Oktober andauert, hat er praktisch keine Auswirkungen auf das Leben der meisten Türken.","Zwar gilt der zunächst für 90 Tage verhängte Ausnahmezustand noch bis Oktober, tatsächlich hat das auf das Leben der meisten Türken aber so gut wie keine Auswirkungen.",1.12923014071007,2017,REFERENCE
"As one of the animals, 392 centimetres long, was likely on the threshold of sexual maturity, and had an age of 156, it seems that Greenland sharks take at least 150 years to be able to reproduce.",have age,"Als einer der Tiere, 392 Zentimeter lang, war wahrscheinlich auf der Schwelle von sexueller Reife, und hatte ein Alter von 156, scheint es, dass Grönland-Haien mindestens 150 Jahre dauern, um zu reproduzieren.","Da eines der Tiere mit 392 Zentimetern wohl an der Schwelle zur Geschlechtsreife stand und sein Alter mit 156 Jahren bestimmt wurde, lassen sich Grönlandhaie mit der Vermehrung offensichtlich mindestens eineinhalb Jahrhunderte Zeit.",1.24475737737332,2017,REFERENCE
"As one of the animals, 392 centimetres long, was likely on the threshold of sexual maturity, and had an age of 156, it seems that Greenland sharks take at least 150 years to be able to reproduce.",have age,"Als einer der Tiere, 392 Zentimeter lang, war wahrscheinlich auf der Schwelle von sexueller Reife, und hatte ein Alter von 156, scheint es, dass Grönland-Haien mindestens 150 Jahre dauern, um zu reproduzieren.","Da eines der Tiere mit 392 Zentimetern wohl an der Schwelle zur Geschlechtsreife stand und sein Alter mit 156 Jahren bestimmt wurde, lassen sich Grönlandhaie mit der Vermehrung offensichtlich mindestens eineinhalb Jahrhunderte Zeit.",1.3988108177727,2017,REFERENCE
"Coach Luis Enrique has so far refused to make a clear decision either way, allowing Bravo to wear the jersey in league games, but giving it to Ter Stegen in most of their other matches.",make decision,"Trainer Luis Enrique hat es bisher abgelehnt, eine klare Entscheidung zu treffen, was Bravo erlaubte, die Tribüne in Liga-Spielen zu tragen, aber es an Ter Stegen in den meisten ihrer anderen Spiele zu geben.","Coach Luis Enrique verzichtete diesbezüglich bisher auf eine klare Entscheidung und ließ Bravo in der Liga, dafür aber Ter Stegen in den meisten übrigen Bewerben den Vortritt.",1.16851268433334,2017,REFERENCE
"Since international sanctions against Iran were lifted, there has been a surge in interest from Russian firms in doing business in the country, the ambassador said.",do business,"Da internationale Sanktionen gegen den Iran aufgehoben wurden, hat die russische Firma einen starken Anstieg der Geschäfte im Land gemacht, sagte der Botschafter.","Seit die internationalen Sanktionen gegen den Iran aufgehoben wurden, wuchs das Interesse auf Seiten russischer Unternehmen an Geschäften im Land stark an, teilte der Botschafter mit.",1.12500429027107,2017,REFERENCE
How can those affected get a grip on the problems they are experiencing?,get grip,Wie können die Betroffenen ihre Probleme in den Griff bekommen?,Wie können Betroffene die Probleme in den Griff kriegen?,1.34930179720262,2017,REFERENCE
"Many people work in builder's yards or help caretakers, or do voluntary work - and that provides motivation in a very orderly way, as Annika Deuschle reports.",do work,"Viele Menschen arbeiten in Bauherren oder helfen Betreuern oder arbeiten ehrenamtlich - und das sorgt für eine sehr geordnete Motivation, wie Annika Deuschle berichtet.","Viele arbeiten im Bauhof oder helfen Hausmeistern, erledigen gemeinnützige Arbeit - und das motiviert und sehr ordentlich, wie Annika Deuschle berichtet.",1.40949953018436,2017,REFERENCE
"From October to December, young people aged between 14 and 20 with and without a migrant and refugee background will have the chance to attend professionally-led courses for singing, dancing, acting, and music.",have chance,"Von Oktober bis Dezember haben junge Menschen zwischen 14 und 20 Jahren mit und ohne Wander- und Flüchtlingshintergrund die Möglichkeit, professionell geführte Kurse für Singen, Tanzen, Handeln und Musik zu besuchen.","Von Oktober bis Dezember sollen Jugendliche mit und ohne Flucht- und Migrationshintergrund zwischen 14 und 20 Jahren die Möglichkeit erhalten, professionell angeleitete Kurse in den Bereichen Gesang, Tanz, Schauspiel und Musik zu besuchen.",1.27367351292414,2017,REFERENCE
"By contrast, the lens cores of third-smallest animal, at 220 centimetres long, contained less of a surplus of carbon-14 from nuclear weapons experiments - so when it was examined in 2012, it must have already had its 50th birthday.",have birthday,"Im Gegensatz dazu war die Linse-Kores von drittkleinsten Tier, bei 220 Zentimetern lang, weniger von einem Überschuss von Kohlenstoff-14 aus Atomwaffenversuch - so, als sie 2012 geprüft wurde, muss sie bereits ihren 50. Geburtstag gehabt haben.","In dem mit 220 Zentimetern Länge drittkleinsten Tier enthielt der Linsenkern dagegen einen geringen Überschuss an Kohlenstoff-14 aus den Atomwaffenversuchen, es dürfte bei seiner Untersuchung im Jahr 2012 also seinen 50. Geburtstag gefeiert haben.",1.27826994710041,2017,REFERENCE
"Since international sanctions against Iran were lifted, there has been a surge in interest from Russian firms in doing business in the country, the ambassador said.",do business,"Da internationale Sanktionen gegen den Iran aufgehoben wurden, hat die russische Firma einen starken Anstieg der Geschäfte im Land gemacht, sagte der Botschafter.","Seit die internationalen Sanktionen gegen den Iran aufgehoben wurden, wuchs das Interesse auf Seiten russischer Unternehmen an Geschäften im Land stark an, teilte der Botschafter mit.",1.24475737737332,2017,REFERENCE
"Interestingly, they have similar views on infrastructure.",have view,Interessanterweise haben sie ähnliche Ansichten zur Infrastruktur.,Interessanterweise sind sich beide sehr nahe beim Thema Infrastruktur.,1.18692188805932,2017,REFERENCE
"Still, despite the public display of reconciliation, the two still have major differences.",have difference,Doch trotz der öffentlichen Darstellung der Versöhnung haben die beiden noch größere Unterschiede.,"Dennoch, trotz der öffentlichen Versöhnung, bestehen zwischen den beiden noch immer große Differenzen.",1.16851268433334,2017,REFERENCE
"There are various forms of sleep disorders, and they can have many causes, emphasises Hans-Günter Weeß, President of the German Association for Sleep Research and Sleep Medicine.",have cause,"Es gibt verschiedene Arten von Schlafstörungen, und sie können viele Ursachen haben, betont Hans-Günter Weeß, Präsident des Deutschen Gesellschaft für Sleep Research und Sleep Medicine.","Es gibt mehrere Formen von Schlafstörungen, und es können ihnen vielfältige Ursachen zugrunde liegen, betont Hans-Günter Weeß, Vorstandsmitglied der Deutschen Gesellschaft für Schlafforschung und Schlafmedizin.",1.42181814949572,2017,REFERENCE
"At the Defcon hacker conference, security researchers demonstrated how they could take control of a thermostat connected to the internet.",take control,"Auf der Defcon-Hacker-Konferenz haben Sicherheitsforscher gezeigt, wie sie die Kontrolle über einen mit dem Internet angeschlossenen Thermostat übernehmen könnten.","Auf der Hackerkonferenz Defcon demonstrierten Sicherheitsforscher, wie sie ein mit dem Internet verbundenes Thermostat unter ihre Kontrolle bekommen konnten.",1.24475737737332,2017,REFERENCE
Chen was supposed to have taken part in the 50m Freestyle heats on Friday.,take part,Chen war angeblich am Freitag in den 50m Freestyle heiraten.,Am Freitag hätte Chen an den Vorläufen über 50 m Freistil teilnehmen sollen.,1.24475737737332,2017,REFERENCE
