src,LVC_Candidate,mt,ref,score,year,system
"A domestic brokerage analyst said that the Orient Securities in Hong Kong did not enjoy a good foundation. Only its capital management business is its strength. It has many inherent problems compared with Bank of China International and CITIC Securities, etc.",have problem,一位国内券商分析师表示，东方证券在香港并不享有良好的基础，只有其资本管理业务才是其实力。与中国银行和中信证券等银行相比，它有许多固有的问题。,国内一家券商分析师表示，东方证券在港基础并不算好，旗下资管业务才是东证所长。相比中银国际、中信证券等银行系券商，显得先天不足。,0.632493115927256,17,SogouKnowing-nmt
"A gourmand, President Roosevelt had a taste for fancy Fifth Avenue foods like pâté de foie gras and Maryland terrapin soup.",have taste,一位美食家，罗斯福总统喜欢豪华的第五大道的食物，如p â t é t é de鹅肝和马里兰terrapin汤。,作为一名美食家，罗斯福总统喜欢第五大道的美食，比如鹅肝酱和马里兰炖水鱼。,-0.66468033857949,17,SogouKnowing-nmt
"According to Zhao Xiuping, up to RMB 400 million has been invested in the current environmental protection. Such investment has a great impact on the enterprise management philosophy and social benefits and also opened up a space for the enterprise innovation management.",have impact,这类投资对企业管理理念和社会效益都有很大的影响，也为企业创新管理开辟了空间。,"赵秀平说,目前企业环保已投资达4个亿,表面上数额巨大,但对企业经营管理理念、社会效益都有很大影响,对企业创新管理也开辟了空间。",-0.0987856731520173,17,SogouKnowing-nmt
"Actually, this 50-meter freestyle is not the subject of Ning Zetao. His performance and best achievement in Kazan World Championships also indicate it is not possible for him to make breakthrough in this project.",make breakthrough,实际上，这50米自由泳并不是宁泽涛的主题，他在喀山世界锦标赛中的表现和最好的成绩也表明他不可能在这个项目上取得突破。,可就在50米自由泳预赛中，宁泽涛再一次刷新了人们的“底线”。,-1.8025855625317069,17,SogouKnowing-nmt
"After the case, Haikou City Public Security Bureau of Interpol detachment leaders attach great importance and immediately organize a detachment of elite troops to take the initiative to investigate.",take initiative,在此之后，海口市公安局的国际刑警支队领导人非常重视并立即组织了一支精锐部队，主动进行调查。,案件发生后，海口市公安局刑警支队领导高度重视，立即组织支队一大队精干警力主动出击展开侦查。,-1.87711859895816,17,SogouKnowing-nmt
"An open, industrial loft in DTLA gets a cozy makeover",get makeover,一个开放的、工业的阁楼在DTLA得到了一个舒适的改造,DTLA的开放式工厂阁楼进行了一次舒适的改造。,0.67244859661402,17,SogouKnowing-nmt
"As China's exports of petroleum products have a huge impact on the Asian market, teapot refinery got more attentions.",have impact,随着我国石油产品出口对亚洲市场的巨大影响，茶壶炼油厂受到了越来越多的关注。,由于中国出口的石油产品对亚洲市场行情的影响巨大，对茶壶炼油厂的关注度也越来越高。,-0.532376624126127,17,SogouKnowing-nmt
"As the suspect is a stealing recidivism and repeatedly dealt with by the public security organs, he has strong anti-reconnaissance capabilities. In addition, due to his long-term drug abuse, the often drug addiction makes trial work quite difficult.",have capability,由于犯罪嫌疑人是盗窃累犯，并多次被公安机关处理，他有很强的反侦察能力，此外，由于长期吸毒，吸毒成瘾使审判工作变得相当困难。,由于该嫌疑人系盗窃惯犯，屡次被公安机关打击处理过，具有较强的反侦察能力，加上他长期吸毒，讯问中毒瘾时常发作，审讯工作非常困难。,1.08865499972171,17,SogouKnowing-nmt
"At the 15th minute, Zhang Xizhe flip through in straight line of the midfield. Ilmaz has been straight for the penalty area and the defensive Liu Yu grab the first leg of the ball and made a fight.",make fight,在第15分钟，张Xizhe在中场的直线上翻了一圈。 Ilmaz一直直奔禁区，防守刘宇抓住了球的第一条腿，并进行了一场战斗。,第15分钟，张稀哲中场直线挑传，伊尔马兹已直冲禁区，单兵防守的刘宇抢先出脚将球破坏。,-1.1319505467816993,17,SogouKnowing-nmt
"At the same time, the Martian atmosphere has a reducing effect on sunlight, which poses a problem for the energy supply for Mars detection.",have effect,同时，火星大气对阳光的影响降低，这对火星探测的能源供应构成了一个问题。,同时，火星大气对太阳光照还有削减作用，这为火星探测的能源供给带来难题。,0.0101651126948121,17,SogouKnowing-nmt
But the visit also had additional political value for Moscow.,have value,但这次访问对莫斯科也具有更大的政治价值。,对于莫斯科来说，此次访问也具有额外的政治价值。,0.7409464044010965,17,SogouKnowing-nmt
"But, as Vladimir Putin greeted his Turkish counterpart in the gilded hall of a St. Petersburg palace, I got the distinct impression that Ankara wants this reconciliation the most.",get impression,但是，当弗拉基米尔·普京在圣彼德堡宫殿镀金大厅迎接他的土耳其对手时，我得到了一个明显的印象，即安卡拉最希望实现这一和解。,然而，当弗拉基米尔·普京在一座圣彼德斯堡宫殿金碧辉煌的大厅中迎接土耳其总统时，我有种强烈的感觉：此次和解是安卡拉最希望看到的。,0.119153864809809,17,SogouKnowing-nmt
"China mainly adopts the market mechanism, economic means and the rule of law. The government is mainly to do the work of disclosing the ins and outs to workers and social stability, to ensure fair and equitable market order.",do work,中国主要采取市场机制、经济手段和法治，政府主要致力于为工人和社会稳定披露细节，确保公平合理的市场秩序。,我国主要采取市场机制、经济手段和法治办法，政府主要是做好职工兜底和社会稳定工作，保证公平公正的市场秩序。,-0.308252961654122,17,SogouKnowing-nmt
"China's Mars exploration launch target is to step around, land and patrol at one time. Such task has considerable difficulty.",have difficulty,中国的火星探索发射目标是一次绕一步，陆地和巡逻，这样的任务有相当大的困难。,我国的火星探测发射目标是想一步环绕、着陆、巡视，这个任务具有相当大的难度。,-0.24970928972633,17,SogouKnowing-nmt
"For the conditions of applying for residence permit, the above regions generally said that the applicants need to live more than six months and meet one of these three requirements: having legitimate and stable employment, having legal and stable residence and continuous study.",have employment,对于申请居留许可的条件，上述地区一般说，申请人需要活六个月以上，符合上述三项要求之一：有合法和稳定的就业，有合法和稳定的居住和持续学习。,对于申领居住证的条件，上述地区普遍提出，需居住半年以上，符合有合法稳定就业、合法稳定住所、连续就读条件之一。,0.7418708854924754,17,SogouKnowing-nmt
"GB made wholesale changes at half-time and they plugged the Fijian dam...for all of four minutes, which by first-half standards was good, until Josua Tuisova went over after some brilliant Fijian interplay.",make change,GB在半个时间内进行了大规模的改变，他们堵住了斐济的水坝… …整整4分钟，其中一半的标准是好的，直到Josua Tuisova在斐济的一些杰出的相互作用之后继续前进。,英国队在下半场作出了巨大的改变并且在整整四分钟里冲击着斐济人的防线，就上半场而言，这一表现已经很好了。但之后斐济队打出精彩的配合，由乔舒亚·图埃索瓦再次得分。,-0.6340878947211005,17,SogouKnowing-nmt
"Glover has a wedding to attend next month, her own to television adventurer Steve Backshall.",have wedding,格洛弗在下个月举行了一场婚礼，她自己去看电视冒险家史蒂夫。,格拉芙下个月将与电视探险员史蒂夫·巴克沙尔结婚。,-0.8907588670489587,17,SogouKnowing-nmt
He calls for the Press to be given greater access to council papers and decisions taken by unofficial committees or working groups.,give access,他呼吁新闻界更多地获得安理会的文件和非官方委员会或工作组所作的决定。,他呼吁增加媒体了解会议文件及非官方委员会或工作组所做决定的途径。,0.460774047765213,17,SogouKnowing-nmt
He must also have a say in the decisions that impact the team's performance.,have say,他还必须在影响球队表现的决定中有发言权。,他还必需在影响球队表现的决策中拥有发言权。,-1.40240664765177,17,SogouKnowing-nmt
"I'm now saying we no longer have global aspirations, we have local aspirations.",have aspiration,我现在说，我们不再拥有全球愿望，我们有当地的愿望。,目前，我要说的是，我们不再重点关注全球，我们已将目光转向本土。,-0.37602100659259974,17,SogouKnowing-nmt
"In July, China's total import and export value fell by only 0.9% year on year. In particular, China's export value had a year-on-year rise of 2.9%.",have rise,今年7月，中国进出口总额同比下降了0.9% ，特别是中国的出口价值同比增长2.9% 。,而在7月当月，中国进出口总值同比仅下降0.9％，特别是出口同比增长了2.9％。,1.1965518219921,17,SogouKnowing-nmt
"In order to fill the short board, on the one hand, the relevant departments shall take full account of the layout of the stadium at urban planning.",take account,为了填补短板，一方面，有关部门应当充分考虑到城市规划中体育场的布局。,为了补齐这块短板，一方面，相关部门在进行城市规划时要充分考虑到体育场馆的布局。,1.0679227138283935,17,SogouKnowing-nmt
"In this regard, the doctor reminded that staying up late has health risks and may lead to cardiovascular disease.",have risk,在这方面，医生提醒说，熬夜有健康风险，可能导致心血管疾病。,对此，医生特别提醒，熬夜看赛事存在健康隐患，有可能引发心血管疾病。,0.5221559340690339,17,SogouKnowing-nmt
"Just after coming to Xiamen team, Zhang Binbin once again took the initiative to return to Xiang'an school because of her family difficulties.",take initiative,就在来到厦门的球队之后，张宾斌又一次主动回到了湘安学校，因为她的家庭困难。,就在进入厦门队后不久，张彬彬又一度因为家庭困难等原因，主动回到翔安的学校读书。,0.626340702297003,17,SogouKnowing-nmt
"Mind you, that's a given for Moscow which has its own deep-seated fear of regime change.",have fear,请注意，这是对莫斯科的一种考虑，它有自己根深蒂固的对政权更迭的恐惧。,注意，这对于一直对政权更迭怀抱根深蒂固恐惧的莫斯科来说是一种馈赠。,-0.895144414072481,17,SogouKnowing-nmt
"Nadal, the grand slam gold winner, shows special preference to the Olympic Games. The unhealed Nadal struck and made a huge gain.",make gain,纳达尔，这位大满贯金牌得主，表现出了对奥运会的特殊偏好。纳达尔打了一拳，取得了巨大的收益。,作为金满贯得主的纳达尔，对奥运会情有独钟，伤未痊愈的他，此次三线出击，斩获颇丰。,-0.10680385643996385,17,SogouKnowing-nmt
"Parker had a better performance than last season. This is not only because his basket efficiency came to the highest level, his chemical reaction with Aldrich also benefits the Spurs.",have performance,帕克的表现比上个赛季要好，这不仅是因为他的篮效率达到了最高水平，他与奥尔德里奇的化学反应也有利于马刺。,帕克在上个赛季表现得比数据反映的要好些，不仅是因为他的篮下效率来到了生涯最高，他和阿尔德里奇的化学反应也让马刺队受益。,0.626340702297003,17,SogouKnowing-nmt
"Some 140,000 people have a heart attack in England every year, and a quarter of these go on to have another attack or a stroke.",have attack,英国每年约有14万人心脏病发作，其中四分之一的人继续进行另一次攻击或中风。,"在英格兰，每年有大约140,000人罹患心脏病，其中有四分之一会继续遭遇心脏病复发或出现中风。",-1.09268578030614,17,SogouKnowing-nmt
"Still, despite the public display of reconciliation, the two still have major differences.",have difference,尽管如此，尽管公开显示了和解，但两人仍然存在重大分歧。,然而，尽管公开和解，但双方仍存在重大分歧。,0.67585991617381,17,SogouKnowing-nmt
"The company offered an explanation: The lens was meant as homage to anime characters, not as a caricature of Asian people.",offer explanation,该公司提供了一个解释：镜头是对动漫角色的敬意，而不是对亚洲人的讽刺。,该公司的解释是：该滤镜是对动漫角色致敬，而非讽刺亚洲人。,0.67585991617381,17,SogouKnowing-nmt
The current 63-year-old wanderer Han and another tramp Xiao had a dispute after alcohol drinking. Then Han stabbed Xiao to death with a fruit knife.,have dispute,这位63岁的流浪者汉和另一名流浪汉在饮酒后发生了争执，然后用一把水果刀刺伤了肖to 。,现年63岁的流浪者韩某与另一流浪汉肖某酒后发生争执，遂持刀将其扎死。,0.4761798569978975,17,SogouKnowing-nmt
