src,VPC_Candidate,mt,ref,score,year,system
But remember that the safest way out of any mugging - if you're not a Krav Maga grandmaster - is to hand over your cash.,hand over,"Ale pamatujte si, že nejbezpečnějším způsobem z každého přepadení - pokud nejste Krav Maga velmistr - je předat vaše peníze.","Nezapomeňte ale, že nejbezpečnějším způsobem, jak se z přepadení dostat - pokud nejste velmistrem Krav Maga - je vydat veškerou hotovost.",1.88756831648402,2017,REFERENCE
"""We have shut down twenty mosques since December and other will follow,"" said the Interior Minister Bernard Cazeneuve.",shut down,"„Uzavřeli jsme dvacet mešit od prosince a další budou následovat,“ řekl ministr vnitra Bernard Cazeneuve.","""Od prosince jsme jich zavřeli dvacet a další budou následovat,"" uvedl ministr vnitra Bernard Cazeneuve.",1.36838048092123,2017,REFERENCE
"During the tour, tourists have the opportunity to have the warder lock them up in a cell, mainly as a photo op but also to experience for themselves what it is like to be behind bars.",lock up,"Během prohlídky mají turisté možnost mít zaklínače zamknout v cele, hlavně jako fotomontáž, ale také aby sami zažili, jaké to je být za mřížemi.","V rámci prohlídky se mohou turisté nechat zavřít do jedné z cel, většinou kvůli fotografii na památku, nebo aby si navodili pocit, který za mřížemi prožívají vězni.",1.56152369385479,2017,REFERENCE
"After Verb closed, she said, she gave up drinking coffee for a while.",gave up,"Poté, co se Verb uzavřela, řekla, že se na chvíli dala pít kávu.","Řekla, že když Verb zavřel, na nějakou dobu úplně přestala pít kávu.",1.36838048092123,2017,REFERENCE
"Many Amharas and Oromos feel Ethiopia is unfairly dominated by members of the Tigrayan ethnic group, which makes up about 6 percent of the population and dominates the military, the intelligence services, commerce and politics.",makes up,"Mnozí Amharas a Oromos pociťuje Etiopii nespravedlivě ovládají členové Tigrayánské etnické skupiny, která tvoří asi 6 procent populace a ovládá armádu, zpravodajské služby, obchod a politiku.","Mnoho Amharů a Oromů se domnívá, že Etiopii neprávem dominují členové etnika Tigrajů, které tvoří okolo 6 procent populace a ovládá armádu, zpravodajské služby, obchod a politiku.",1.10297051090657,2017,REFERENCE
"Perhaps only at the beginning of the project, when we arrived at the construction site and were able for the first time to get to our floor only to find out that the views we envisaged will be blocked by surrounding buildings.",find out,"Snad jen na začátku projektu, když jsme přijeli na staveniště a mohli se poprvé dostat do našeho patra jen proto, abychom zjistili, že názory, které jsme předpokládali, budou zablokované okolní budovy.","Snad jen v úvodní fázi projektu, když jsme přišli na stavbu v okamžiku, kdy bylo poprvé možné vystoupat do výšky našeho podlaží, a zjistili, že výhledy, které jsme si plánovali, ve skutečnosti stíní okolní budovy.",1.52760951489706,2017,REFERENCE
CBC ended up apologizing more than 90 times to people who had tweeted in response to the remark,ended up,"KBC skončila omluvou více než 90 krát lidem, kteří měli na Twitteru v reakci na poznámku","Stanice CBC se nakonec omluvila více než 90krát lidem, kteří tweetovali v odpovědi na komentář",1.84614572425677,2017,REFERENCE
The novelty will wear off and use will subside in due course.,wear off,Novinka bude nosit a používat se bude v řádném termínu.,Novinka se okouká a zájem o ni začne v určitém okamžiku opadat.,1.57954487286017,2017,REFERENCE
"In a blog post, Adblock spokesperson Ben Williams wrote that ""this sort of back-and-forth battle between the open source ad-blocking community and circumventers has been going on since ad blocking was invented,"" and that it is possible Facebook would come up with its own fix soon.",going on,"V blogu blokování mluvčí Ben Williams napsal, že „tento druh on - line bitvy mezi otevřeným zdrojem ad - blokování komunity a obřími už od reklama byla vynalezena“ a že je možné, že Facebook brzy přijde s vlastním řešením, brzy.","Mluvčí Adblocku Ben Williams do příspěvku v blogu napsal, že „tahle jakási válka mezi komunitou open source blokování reklam a těmi, kdo se je snaží obejít, trvá od té doby, co bylo blokování reklam vynalezeno,“ a že Facebook pravděpodobně přijde s další vlastní opravou.",1.24718023135349,2017,REFERENCE
"His reason for acquiring such a vast number of albums and singles is partly a result of his disposable income: he is now able to buy records he couldn't afford when they originally came out, and to repurchase items he sold when he was young and skint.",came out,"Jeho důvod pro získání tohoto velkého počtu alb a singlů je částečně důsledek jeho disponibilních příjmů: nyní je schopen koupit desky, které si nemohl dovolit, když původně vyšel, a na rekuperaci zboží, které prodal, když byl mladý a bruslař.","Tohle obrovské množství alb a singlů má také díky tomu, že si to může dovolit: může si nyní kupovat gramofonové desky, které si dovolit nemohl, když vycházely původně, a znovu si kupuje to, co prodal v mládí a neměl ani vindru.",1.80755004535569,2017,REFERENCE
