src,VID_Candidate,mt,ref,score,year,system
"""We all need to learn to put our phones down from time to time,"" said Janina Kugel, Siemens HR Director.",put down,"""Wir müssen alle lernen, unsere Telefone von Zeit zu Zeit niederzulegen"", sagte Janina Kugel, Siemens-Personaldirektorin.","""Wir müssen alle lernen, das Smartphone auch mal wegzulegen"", sagte gerade Janina Kugel, im Siemens-Vorstand für Personal zuständig.",0.8950935484925315,17,LMU-nmt-reranked
"Floor boards had been pulled up in the property, from which drugs had been dealt in the past",pull up,"Bodenplatten waren in der Immobilie hochgezogen worden, von denen Drogen in der Vergangenheit behandelt worden waren","Es wurden in dem Anwesen, in dem in der Vergangenheit Drogen gehandelt wurden, die Holzdielen aufgerissen",-1.99804235664618,17,LMU-nmt-reranked
"If he doesn't make it because of political correctness, that's ok, Trump added.",make it,"Wenn er es nicht wegen der politischen Korrektheit macht, ist das ok, fügte Trump hinzu.","Falls es für ihn am Ende aus Gründen der politischen Korrektheit nicht reiche, sei das in Ordnung, sagte Trump weiter.",-0.9759974159583991,17,LMU-nmt-reranked
"Ms. Oliveira, 34, used to live in Williamsburg and went to Verb frequently.",go to verb,"Frau Oliveira, 34, lebte in Williamsburg und ging häufig zu Verben.","Oliveira, 34, wohnte früher in Williamsburg und besuchte das Verb regelmäßig.",-0.0582123607589716,17,LMU-nmt-reranked
"This is why the commune's homes need to be beefed up, as it is so neatly put.",beef up,"Aus diesem Grund müssen die Häuser der Gemeinde gestärkt werden, wie es so schön formuliert ist.","Daher müssen gemeindliche Wohnungen ertüchtigt werden, wie es so schön heißt.",0.914548771130317,17,LMU-nmt-reranked
"Dan Norton grabbed a try for GB, touching down in the left corner to make it 36-7 but the game was long gone the way of the South Sea Islanders whose fans sang, waved flags and danced in the stands.",make it,"Dan Norton packte einen Versuch für GB und berührte in der linken Ecke, um es zu machen 36-7 aber das Spiel war längst der Weg der Südsee-Inselbewohner, deren Fans sangen, winkte Fahnen und tanzten in den Ständen.","Dan Norton startete einen Versuch für GB, machte einen Touchdown in der linken Ecke für ein 36-7, aber das Spiel verlief schon lange zugunsten der Südseeinsulaner, dessen Fans sangen, Fahnen schwenkten und tanzten auf der Tribüne.",-1.59906612964467,17,online-B
"If he doesn't make it because of political correctness, that's ok, Trump said.",make it,"Wenn er es nicht wegen der politischen Korrektheit macht, dann ist das ok, sagte Trump.","Falls es für ihn am Ende aus Gründen der politischen Korrektheit nicht reiche, sei das in Ordnung, sagte Trump.",-1.366329997227115,17,online-B
"She hasn't lost an all-around competition since the summer of 2013, a winning streak that should go for as long as Biles wants it to.",go for,"Sie hat seit dem Sommer 2013 keinen Allround-Wettbewerb verloren, eine Siegesserie, die so lange gehen sollte, wie es Biles will.","Sie hat seit dem Sommer 2013 keinen Mehrkampfwettbewerb mehr verloren, eine Siegesserie, die so lange anhalten wird, wie es Biles wünscht.",0.833509778194026,17,online-B
This latest protest comes just days after protesters took to the streets en masse to support suspended President Dilma Rousseff as the country's senate voted for her impeachment.,take to the street,"Dieser letzte Protest kommt nur wenige Tage nach Demonstranten auf die Straßen en masse, um den suspendierten Präsidenten Dilma Rousseff zu unterstützen, da der Senat des Landes für ihre Anklage stimmte.","Die jüngsten Proteste ereigneten sich einige Tage nachdem Demonstranten in Massen auf die Straßen gingen, um die suspendierte Präsidentin Dilma Rousseff zu unterstützen, die durch ein Votum des Senats zu ihrer Abberufung aus dem Amt enthoben worden war.",-1.0570265842185915,17,online-B
"With its lens tool, Snapchat allows some 150 million daily users to alter reality and play with identity in ways that border on the absurd.",play with identity,"Mit seinem Objektiv-Tool erlaubt Snapchat etwa 150 Millionen täglichen Benutzern, die Realität zu verändern und mit Identität in einer Weise zu spielen, die an dem Absurden angrenzt.","Mit seinem Filtertool ermöglicht es Snapchat rund 150 Millionen täglichen Usern, die Realität zu verändern und mit Identitäten auf so eine Art und Weise zu spielen, die schon ans Absurde grenzt.",0.402607420078693,17,online-B
