src,VID_Candidate,mt,ref,score,year,system
"""It never occurred to me that the Mexican audience were so enthusiastic. I had some worries about whether they could understand the story, but it was beyond my expectation to see them catch the story and the laughter today.",occur to [pron],“我从来没有想到墨西哥观众如此热情，我有些担心他们是否能听懂这个故事，但我不希望看到他们今天听到这个故事和笑声。,“我没有想到墨西哥观众这么热情，原本我对他们能否理解故事还有些担心，但是今天看到他们能抓住故事情节和许多笑点，这出乎我的意料。”,-0.176289135348257,17,SogouKnowing-nmt
"""This is not solely to protect against electoral fraud, but to protect local government from the broader culture of corruption and financial fraud that goes hand in hand with it,"" he said.",go with [pron],他说： “这不仅仅是为了防止选举舞弊，而是为了保护地方政府免受更广泛的腐败和金融欺诈文化的影响。 ”,“这不仅仅是为了防范选举舞弊，还是为了保护地方政府免遭广泛的腐败文化以及与其密切联系在一起的金融诈骗的毒害，”他说。,0.14220781196831805,17,SogouKnowing-nmt
"A knee to the groin follows, and while the attacker doubles up in pain, you twist the gun from his hands, smack him in the face with the barrel and back up, keeping the weapon trained on him.",train on [pron],膝盖到腹股沟之后，当攻击者在疼痛中加倍时，你把枪从他的手上拧下来，用枪管打他的脸，然后把武器对准他。,接下来用膝盖顶其腹股沟，当袭击者因疼痛而弯下身子时，扭转他手中的枪，用枪管和后备枪组打他的脸，保持武器一直对准他。,0.207995326410601,17,SogouKnowing-nmt
A variety of business activities came to him. He really have a golden flashing prospect.,come to [pron],他遇到了各种各样的商业活动，他真的有一种金色的闪光前景。,于是，“国民老公”、“小鲜肉”、“花样美男”等称呼也不断成为他身上的标签。,-0.909564029138936,17,SogouKnowing-nmt
"Dan Norton grabbed a try for GB, touching down in the left corner to make it 36-7 but the game was long gone the way of the South Sea Islanders whose fans sang, waved flags and danced in the stands.",make it,丹诺顿抓住了GB ，在左角触到了36- 7 ，但这场比赛早已走上了南海岛民的道路，他们的球迷在看台上唱歌、挥舞旗帜和跳舞。,丹·诺顿为英国队创造了得分的机会，他在左角触地，将比分更改为36比7，但比赛早已在南海岛国的掌控中，他们的球迷在站台上高声歌唱、挥舞旗帜、载歌载舞。,0.511758760581841,17,SogouKnowing-nmt
He was the brother that went with the flow.,go with the flow,他是那种随波逐流的兄弟。,他是一个随从大家意见的人。,0.39580123071191553,17,SogouKnowing-nmt
Many of the Depression-era food ways were abandoned as soon as the country got back on its feet.,get on [pron] foot,许多萧条时期的食品方式在国家重新站稳脚跟后就被抛弃了。,当美国一回到正规，许多大萧条时期的烹饪方式就被摒弃。,0.905145503301545,17,SogouKnowing-nmt
"Massive because the viaduct is 222 metres long, weighs approximately 6,000 tonnes and had to be pulled up a gradient of about 3%.",pull up,由于高架桥长222米，重约6000吨，不得不拉上大约3%的梯度。,"说它规模巨大，是因为高架桥长222米，重约6,000公吨，需要拉出一个约3%的斜度。",0.810772279565073,17,SogouKnowing-nmt
One Twitter user took to the site recently to declare her happiness that 'the rest of the internet thinks that Hope Solo and Jennifer Carpenter are actually identical.',take to the site,一名Twitter用户最近来到该网站宣布她的幸福： “互联网的其余部分认为希望独奏和詹妮弗·卡朋特实际上是相同的。 ”,一位推特用户最近开心地在网上宣称“其他网民也认为霍普·索罗和珍妮弗·卡彭特实际上长得一模一样。”,0.0765177551694787,17,SogouKnowing-nmt
"Shell, for its part, has trimmed thousands of people from its payroll and announced plans to leave oil and gas operations in up to 10 countries as it streamlines its operations in the wake of its mega-merger with British energy company BG Group.",trim for [pron] part,壳牌( Shell )已削减了数千人的工资，并宣布计划将石油和天然气业务留到10个国家，因为它在与英国能源公司BG集团合并后简化了业务。,壳牌已裁减了数千名员工并且宣布计划关停10个国家的油气设备，这是因为公司在与英国能源公司英国天然气集团合并后需要精简其业务。,0.179955451004624,17,SogouKnowing-nmt
The incident is the first time for the police to kill terror suspects before the incident after Canadian Prime Minister Justin Trudeau came to power last year.,come to power,在加拿大总理贾斯汀特鲁多去年上台后，这次事件是警方首次在事件发生前杀死恐怖嫌疑人。,此次事件是加拿大总理贾斯廷·特鲁多（Justin Trudeau）去年上台后，警方首次在事发前击毙恐怖嫌疑人。,0.6317864990272578,17,SogouKnowing-nmt
This latest protest comes just days after protesters took to the streets en masse to support suspended President Dilma Rousseff as the country's senate voted for her impeachment.,take to the street,这一最新的抗议是在抗议者集体走上街头支持暂停的总统迪尔玛·罗塞夫之后的几天，因为美国参议院投票支持她的弹劾。,就在最近的一次抗议发生前几天，抗议者集体走上街头，支持被国家参议院弹劾的总统迪尔玛·罗塞夫。,0.196025278907891,17,SogouKnowing-nmt
"We sincerely regret that these statements were made, and that they were allowed to go to air.",go to air,我们真诚地感到遗憾的是，这些声明已经发表，他们被允许进入空中。,我们对说出这样的话并将之直播出去感到无比抱歉。,-1.21775021561304,17,SogouKnowing-nmt
