src,VPC_Candidate,mt,ref,score,year,system
"""For the past three years, I have carried out my duties as head coach and vice president of hockey operations for the Colorado Avalanche with energy, passion and determination,"" the 50-year-old Roy said in the statement.",carried out,这位50岁的罗伊在声明中说： “在过去的三年中，我以充沛的精力、热情和决心履行了我作为科罗拉多雪崩队的主教练和曲棍球业务副总裁的职责。,五十岁的罗伊在声明中表示：“在过去三年中，我怀着活力、激情与决心履行科罗拉多雪崩队主教练兼副总裁的职责。”,1.30069020315576,17,SogouKnowing-nmt
"A knee to the groin follows, and while the attacker doubles up in pain, you twist the gun from his hands, smack him in the face with the barrel and back up, keeping the weapon trained on him.",doubles up,膝盖到腹股沟之后，当攻击者在疼痛中加倍时，你把枪从他的手上拧下来，用枪管打他的脸，然后把武器对准他。,接下来用膝盖顶其腹股沟，当袭击者因疼痛而弯下身子时，扭转他手中的枪，用枪管和后备枪组打他的脸，保持武器一直对准他。,0.207995326410601,17,SogouKnowing-nmt
"A woman lay down in the dark on the road ""in a desperate act"" and was hit by several vehicles, Vaud police said in a statement.",lay down,Vaud警方在一份声明中说，一名妇女躺在路上的黑暗中“绝望的行为” ，被几辆车撞了。,沃州警方表示，一名女性在深夜“绝望地”躺在公路上并且被多辆车辗过。,0.179955451004624,17,SogouKnowing-nmt
"AGL said it had already written down the value of the contracts in its accounts by $187 million in ""anticipation of a termination event.""",written down,AGL表示，在“预期终止事件”的情况下，该公司已经将其账户中的合同价值记下了1870万美元。,AGL表示，公司已在“终止活动预期”中减记了1.87亿美元的合同价值。,-1.6823992483935002,17,SogouKnowing-nmt
"According to Zhao Xiuping, up to RMB 400 million has been invested in the current environmental protection. Such investment has a great impact on the enterprise management philosophy and social benefits and also opened up a space for the enterprise innovation management.",opened up,这类投资对企业管理理念和社会效益都有很大的影响，也为企业创新管理开辟了空间。,"赵秀平说,目前企业环保已投资达4个亿,表面上数额巨大,但对企业经营管理理念、社会效益都有很大影响,对企业创新管理也开辟了空间。",-0.0987856731520173,17,SogouKnowing-nmt
"According to the data of Hong Kong Ai Li Pi Hospital Management Research Center, a large number of start-up Internet medical companies languished just within one year and about 20% of the start-up Internet medical companies has ceased to exist.",start up,根据香港Ai Li医院管理研究中心的数据，一大批初创互联网医疗公司在一年内陷入衰退，大约20%的启动互联网医疗公司已经不复存在。,另据香港艾力彼医院管理研究中心数据显示，创业一年内的互联网医疗公司大量死亡，约20%的初创互联网医疗企业已不复存在。,0.4817332227799556,17,SogouKnowing-nmt
"After the renovation, it became a sports and cultural park, and will be officially opened in November to the public free of charge to provide sports venues. In addition, it would undoubtedly open up a new fertile soil for the whole people.",open up,翻新后，它成为一个体育和文化公园，并将于11月正式开放给公众免费提供体育场地，此外，它无疑将为全体人民开辟一个新的肥沃土壤。,这里经过整治后，成了体育文化公园，并将于11月正式对外开放，向市民免费提供运动场所，也无疑为全民体育开辟了全新的沃土。,0.7777314684554625,17,SogouKnowing-nmt
"After truly exceptional showings of utter dominance at Beijing and London, expectations have been played down in the lead-up to Rio.",played down,在北京和伦敦真正表现出绝对优势之后，在里约的领导下，人们的期望值也有所下降。,在北京和伦敦奥运会上展现其绝对统治地位后，英国自行车队在前往里约的过程中让大家略感失望。,0.2556804133977145,17,SogouKnowing-nmt
"All departments and regions should actively implement the deployment of the State Council, earnestly carry out the work, and reduce crude steel production capacity by 45 million tons this year.",carry out,各部门、各地区要积极落实国务院的部署，认真开展工作，今年将原油生产能力降低4500万吨。,各部门、各地区积极贯彻落实国务院部署，认真开展工作，今年要压减粗钢产能4500万吨左右。,-0.863669054990335,17,SogouKnowing-nmt
"As the book tells it, Mrs. Roosevelt's hiring of a housekeeper with no interest in flavor resulted in a White House that ""put out not only some of the dreariest food in Washington but also some of the most dismally prepared.""",put out,正如这本书所说的那样，罗斯福夫人雇用一位对味道不感兴趣的女管家，导致了一所白宫， “不仅把华盛顿的一些最美味的食物放出来了，而且还有一些最令人沮丧的准备。 ”,正如本书所言，罗斯福女士所聘用的管家对于味道毫无兴趣，因此白宫里的“食物不仅是华盛顿最难吃的食物，更是烹饪最差的食物。”,-0.412890965197901,17,SogouKnowing-nmt
