src,VID_Candidate,mt,ref,score,year,system
"So when it pushed a lens to some users this week that gave them slanted eyes, distorted teeth and puffy cheeks, some critics called it a racist caricature of Asian people - ""yellowface.""",call it,"So, als es einige Nutzer in dieser Woche ein Objektiv drängten, die ihnen slantierte Augen gaben, verzerrten Zähne und puffy Wangen, manche Kritiker nennen es eine rassistische Karikatur der asiatischen Bevölkerung - ""yellowface"".","Als es diese Woche einigen Usern einen Filter vorschlug, der ihnen Schlitzaugen, falsche Zähne und aufgedunsene Wangen gab, nannten es einige Kritiker eine rassistische Karikatur von Asiaten - ""Gelbgesicht"".",1.24165133560936,2017,REFERENCE
"Many public health campaigns to get people to ""find 30,"" ""get off the couch"" and ""be active everyday"" have fallen on deaf ears because most public health messages are boring and delivered by people who look miserable.",get off the couch,"Viele öffentliche Gesundheitskampagnen, um Menschen zu bekommen, finden Sie 30 """", steigen Sie die Couch ""und"" agieren ""der Alltag auf taube Ohren, weil die meisten öffentlichen Gesundheitsnachrichten langweilig und ausgeliefert von Menschen, die sich falsch ansehen.","Viele öffentliche Aufklärungskampagnen zur Gesundheit, die Leute dazu bringen wollen ""sich 30 Minuten Zeit zu nehmen,"" ""vom Sofa zu kommen"" und ""jeden Tag aktiv zu sein"" stießen auf taube Ohren, weil viele öffentliche Botschaften zur Gesundheit langweilig sind und von Leuten kommen, die elend aussehen.",1.24475737737332,2017,REFERENCE
"""We all need to learn to put our phones down from time to time,"" said Janina Kugel, Siemens HR Director.",put down,"""Wir müssen alle lernen, um unsere Telefone von Zeit zu Zeit zu setzen"", sagte Janina Kugel, Siemens HR Director.","""Wir müssen alle lernen, das Smartphone auch mal wegzulegen"", sagte gerade Janina Kugel, im Siemens-Vorstand für Personal zuständig.",1.10910099750817,2017,REFERENCE
"The cover revelation was followed by a bizarre (or simply Keeping Up with the Kardashians-esque?), scripted reality video that featured the entire Kardashian-Jenner family (bar troublemakers Rob and Caitlyn, and joined by everyone's favourite showbiz uncle, Keeping Up producer Ryan Seacrest) forgetting about their sister's cover, only to end with the classic twist: they were all planning a surprise party.",keep up,"Die Cover-Offenbarung folgte ein bizarres (oder einfach Keeping Up mit dem Kardashians-esque?), schrill Reality-Video, das die gesamte Kardashian-Jenner-Familie (Bar-Störmacher Rob und Caitlyn, und trat von jedem favorisierten Showbiz-Onkel, Keeping Up Producer Ryan Seacrest) zu vergessen über ihre Schwester 's Cover, nur zu Ende mit dem Klassiker: Sie alle planen eine Überraschungspartei.","Der Enthüllung des Covers folgte ein bizarres (oder einfach Keeping Up with the Kardashians ähnliches?), geskriptetes Reality-Video, das die gesamte Kardashian-Jenner Familie zeigt (mit Ausnahme der Problemfälle Rob und Caitlyn sowie in Anwesenheit des allseits beliebtesten Showbiz-Onkels und Produzenten von Keeping Up Ryan Seacrest), wie sie das Cover ihrer Schwester vergessen und das mit einer klassischen Wendung endet: sie haben alle eine Überraschungsparty geplant.",1.27826994710041,2017,REFERENCE
"The incident triggered quite a response online, with people calling it a scandal.",call it,"Der Vorfall löste online eine Reaktion ab, wobei die Menschen einen Skandal einforderten.","Der Vorfall löste eine ziemlich große Resonanz im Internet aus, bei dem die Leute das Ganze einen Skandal nannten.",1.34930179720262,2017,REFERENCE
"This is why the commune's homes need to be beefed up, as it is so neatly put.",beef up,"Aus diesem Grund müssen die Wohnungen der Gemeinde befischt werden, da sie so sauber sind.","Daher müssen gemeindliche Wohnungen ertüchtigt werden, wie es so schön heißt.",1.37707956533788,2017,REFERENCE
He was the brother that went with the flow.,go with the flow,"Er war der Bruder, der mit dem Fluss ging.","Er war der Bruder, der mit dem Strom schwamm.",1.27826994710041,2017,REFERENCE
"This is why the commune's homes need to be beefed up, as it is so neatly put.",beef up,"Aus diesem Grund müssen die Wohnungen der Gemeinde befischt werden, da sie so sauber sind.","Daher müssen gemeindliche Wohnungen ertüchtigt werden, wie es so schön heißt.",1.47720793355067,2017,REFERENCE
Did the subject of corporal punishment ever come up?,come up,Ist das Thema Körperstrafen jemals aufgetaucht?,Kam das Thema Prügelstrafe dabei auch zur Sprache?,0.895241024758362,2018,REFERENCE
Members want to set up plaques along the planned route and put information about stars and constellations on them.,put on [pron],Die Mitglieder wollen entlang der geplanten Route Gedenktafeln aufstellen und Informationen über Sterne und Konstellationen auf sie setzen.,Die Mitglieder wollen entlang der geplanten Route Tafeln aufstellen und darauf über Sterne und Sternbilder informieren.,1.19403487193938,2018,REFERENCE
"I regularly hear how many former Domspatzen still today keep in regular contact with him, 23 years after his retirement, visit him, read to him – he is almost blind – and treat him like a member of their family.",keep in,"Ich höre regelmäßig, wie viele ehemalige Domspatzen noch heute regelmäßig Kontakt zu ihm halten, 23 Jahre nach seinem Ruhestand, besuchen ihn, lesen ihm - er ist fast blind - und behandeln ihn wie ein Mitglied ihrer Familie.","Ich bekomme regelmäßig mit, wie viele ehemalige Domspatzen noch heute, 23 Jahre nach seiner Emeritierung, regelmäßig Kontakt zu ihm halten, ihn besuchen, ihm vorlesen - er ist fast blind - und ihn wie ein Mitglied ihrer Familie behandeln.",1.29939026327509,2018,REFERENCE
"Süle took to the field alongside Kimmich, Rudy in front of the defence – both performed excellently.",take to the field,"Süle nahm neben kimmich, Rudy vor der Verteidigung aufs Feld - beide führten hervorragend.","Süle lief neben Kimmich, Rudy vor der Abwehr auf, beide agierten souverän.",1.40640052215316,2018,REFERENCE
"Somebody called it ""Snow White and the Seven Dwarfs.""""",call it,Jemand nannte es „Schneewittchen und die sieben Zwerge“ „.,"Jemand nannte es ""Schneewittchen und die sieben Zwerge"".""""",-0.328110597849051,2019,HUMAN
"It is a righteous diatribe, months and years of fury spilling over, and she can't get it out without weeping.",get it,"Es ist eine rechtschaffene Hetzrede, Monate und Jahre der Wut schwappen über, und sie kann es nicht herausbekommen, ohne zu weinen.","Es ist eine regelrechte Hetzrede, Monate und Jahre voller Wut, und sie kann es nicht rausholen, ohne zu weinen.",-0.753770072692149,2019,HUMAN
