src,VID_Candidate,mt,ref,score,year,system
"""This is not solely to protect against electoral fraud, but to protect local government from the broader culture of corruption and financial fraud that goes hand in hand with it,"" he said.",go with [pron],他说：“这不仅仅是为了防止选举舞弊，而是保护地方政府不受腐败和金融欺诈的更广泛的文化。,“这不仅仅是为了防范选举舞弊，还是为了保护地方政府免遭广泛的腐败文化以及与其密切联系在一起的金融诈骗的毒害，”他说。,1.37405425472481,2017,REFERENCE
"The incident triggered quite a response online, with people calling it a scandal.",call it,这一事件在网上引起了很大的反响，人们称这是一件丑闻。,这一事件在网上引发了热议，大家都认为这是一桩丑闻。,1.08865499972171,2017,REFERENCE
"“Chinese caviar” not only made it to the first class cabin in Lufthansa, it also made an appearance at the Oscars’ dinner banquet, as well as the dinner banquet of the welcoming ceremony of the G20 Hangzhou Summit.",make it,“中国鱼子酱”不仅登上了汉莎航空的头等舱，还出席了奥斯卡晚宴和G20杭州峰会欢迎仪式的晚宴。,“中国鱼子酱”不仅登上德国汉莎航空头等舱，还亮相奥斯卡晚宴、出现在G20杭州峰会欢迎晚宴上。,1.019869960275,2018,REFERENCE
"none of them can be solved. At this stage, you have to stick to it and keep going.",stick to [pron],在这个阶段，你必须坚持下去，并继续前进。,都觉得无法解决的程度，那这个阶段你要坚持住，就你在不断地走不断地走。,1.00249560918478,2018,REFERENCE
"Zhang Chun said, “I kept thinking of using one-fiftieth of other people’s budget to come up with an image effect that was completely identical to these other people’s. I drove our entire team up the wall.”",come up,张春说：“我一直在考虑用别人预算的第50来打造一个和这些人完全相同的形象效果，我把整个团队都推倒了。”,张春称：“老想着用别人五十分之一的预算，做出和别人完全一样的画面效果，团队都要被我逼疯了。”,1.1858846569915,2018,REFERENCE
"Chen Xinlei, Yang Kaihan: When Amazon made it to the world’s top 10 list of retailers, it announced that it would venture into the bookstores and grocery stores; this is worth pondering, both in terms of opportunity and motive.",make it,陈新蕾，杨开涵：当亚马逊进入世界十大零售商名单时，它宣布将进军书店和杂货店；这是值得深思的，无论是从机会和动机。,陈歆磊、杨凯涵：亚马逊在挤进全球十大零售商时候宣布进军书店和杂货铺，不论时机还是动机都很值得玩味。,1.40870632188665,2018,REFERENCE
The advert is a little mad but I took it for what it was.,take it,这个广告有点疯狂，但我接受了它的本来面目。,广告是有一些过头，但我觉得还好。,1.10928822174986,2019,HUMAN
"With 77,000 views and hundreds of comments, the video has received mixed reactions from viewers, with many saying it makes light of the ""horrors"" of the dairy industry.",make light,该视频有77，000次观看和数百条评论，得到了观众的不同反应，许多人说它揭示了乳制品行业的“恐怖”。,"这条视频的观看次数为 77,000，共有数百条评论，观众的反应各异，许多人觉得，这有蔑视乳制品行业“恐怖”的嫌疑。",-0.385428296192347,2019,HUMAN
"The expert who played the carillon in July called it something else: ""A cultural treasure"" and ""an irreplaceable historical instrument.""",call it,在7月份演奏 carillon 的专家称它为另一种东西：“文化宝藏”和“不可替代的历史乐器”。,在七月曾演奏钟琴的专业人士却将其称为：“文化瑰宝”和“无可取代的历史性乐器”。,0.623259511300741,2019,HUMAN
"While Ri reprised familiar North Korean complaints about Washington's resistance to a ""phased"" approach to denuclearization under which North Korea would be rewarded as it took gradual steps, his statement appeared significant in that it did not reject unilateral denuclearization out of hand as Pyongyang has done in the past.",reject out of hand,虽然 Ri 重复了朝鲜熟悉的抱怨，即华盛顿抵制“分阶段”的无核化方针，根据这一方针，朝鲜将在采取渐进步骤时得到奖励，但他的声明似乎意义重大，因为它并没有像平壤过去所做的那样，断然拒绝单方面无核化,虽然李重申了朝鲜对华盛顿抵制“分阶段”无核化（在此情况下，朝鲜将因采取逐步渐进的措施而获得奖励）手段的一贯抱怨，但是其声明的重点似乎在于朝鲜并未像过去平壤一样拒绝放弃单方面无核化。,0.526683446616474,2019,HUMAN
