src,VPC_Candidate,mt,ref,score,year,system
"""We all need to learn to put our phones down from time to time,"" said Janina Kugel, Siemens HR Director.",put down,"""Wir müssen alle lernen, unsere Telefone von Zeit zu Zeit niederzulegen"", sagte Janina Kugel, Siemens-Personaldirektorin.","""Wir müssen alle lernen, das Smartphone auch mal wegzulegen"", sagte gerade Janina Kugel, im Siemens-Vorstand für Personal zuständig.",0.8950935484925315,17,LMU-nmt-reranked
"""We woke up and the water kept on coming,"" Hansford said.",woke up,"""Wir haben aufwachen und das Wasser im Kommen gehalten"", sagte Hansford.","""Wir sind aufgewacht und das Wasser strömte und strömte herein,"" sagte Hansford.",-1.369833413320369,17,LMU-nmt-reranked
"'I'd hate to get home with a new pair of knickers and find another woman had put them on and taken them off again, and they hadn't been washed.'",put on,"""Ich würde hassen, mit einem neuen Paar Knicker nach Hause zu kommen und eine andere Frau zu finden, hatte sie hingelegt und sie wieder mitgenommen, und sie wurden nicht gewaschen"".","""Ich würde es hassen, mit einem neuen Paar Unterhosen nach Hause zu gehen und herauszufinden, dass eine andere Frau sie anhatte und wieder auszog und sie nicht gewaschen wurden.""",-0.834897040453163,17,LMU-nmt-reranked
40 percent of the victims willingly paid up the ransom demanded by the perpetrators so that they were able to use their systems and data that had been affected by the attack.,paid up,"40 Prozent der Opfer zahlten bereitwillig das von den Tätern geforderte Lösegeld, damit sie ihre Systeme und Daten nutzen konnten, die von dem Anschlag betroffen waren.","40 Prozent der Opfer zahlten bereitwillig die von den Tätern geforderten Lösegelder, um die angegriffenen Systeme und Daten wieder nutzen zu können.",1.12500429027107,17,LMU-nmt-reranked
"A generation who played the game when younger have joined the craze, jumping off the couch for the search.",jumping off,"Eine Generation, die das Spiel spielte, als sich jünger der Craze angeschlossen hat, springt auf der Couch für die Suche.","Eine Generation, die das Spiel spielte, als sie noch jünger war, schloss sich dem Wahn an und sprang für die Suche vom Sofa.",-1.69881018639504,17,LMU-nmt-reranked
A poll carried out by SurveyUSA in June puts Trump and his competitor on an equal footing with Democrat Hillary Clinton.,carried out,"Eine Umfrage, die im Juni von Lonyusa durchgeführt wurde, setzt Trump und seinen Konkurrenten auf Augenhöhe mit der Demokratischen Hillary Clinton.","Einer Umfrage von SurveyUSA aus dem Juni zufolge lagen Trump und seine Konkurrentin von den Demokraten, Hillary Clinton, gleichauf.",-0.2358973540561585,17,LMU-nmt-reranked
"AGL said it had already written down the value of the contracts in its accounts by $187 million in ""anticipation of a termination event.""",written down,"AGL sagte, sie habe bereits den Wert der Verträge in ihren Konten um 187 Millionen Dollar in ""Vorfreude auf eine Kündigungsveranstaltung"" geschrieben.","AGL teilte mit, dass es den Wert der Verträge bereits in seinem Jahresabschlus in Höhe von $ 187 Million in ""Erwartung einer Kündigung"" abgeschrieben habe.",-0.452867334584383,17,LMU-nmt-reranked
"After Verb closed, she said, she gave up drinking coffee for a while.",gave up,"Nachdem Verb geschlossen wurde, sagte sie, sie habe eine Weile Kaffee getrunken.","Nachdem das Verb geschlossen hatte, gab sie eine Weile das Kaffeetrinken auf, sagte sie.",-1.61835131484355,17,LMU-nmt-reranked
"After the plates were cleared at Eisenberg's, she and Mr. Coe pulled out a dessert they had prepared at home: the prune dessert that President Roosevelt ate for lunch.",pulled out,"Nachdem die Platten bei Eisenberg geräumt wurden, zogen sie und Mr. Coe ein Dessert aus, das sie zu Hause vorbereitet hatten: Die prune Dessert, die Präsident Roosevelt zum Mittagessen gegessen hatte.","Nachdem die Teller bei Eisenberg's abgeräumt waren, zogen sie und Coe ein Dessert hervor, das sie zuhause zubereitet hatten: das Pflaumendessert, das Präsident Roosevelt zu Mittag aß.",-0.734617637808051,17,LMU-nmt-reranked
"Around 1.4 billion devices were sold, and Samsung and Apple alone make up 555 million of them.",make up,"Rund 1,4 Milliarden Geräte wurden verkauft, allein Samsung und Apple machen 555 Millionen davon.","Verkauft wurden etwa 1,4 Milliarden Geräte, auf Samsung und Apple entfallen davon alleine 555 Millionen Stück.",1.18018912715455,17,LMU-nmt-reranked
"At a court hearing this week, Calais authorities had argued the state should be able to knock down a total of 72 makeshift shops where people inside the camp sell goods, from cigarettes to energy drinks, offer haircuts, or sell tea for 50 cents (40p) or basic meals for a few euros in makeshift restaurants.",knock down,"Bei einer Gerichtsverhandlung in dieser Woche hatten die Behörden von Calais insgesamt 72 Behelfsgeschäfte niederschlagen können, in denen Menschen im Lager Waren verkaufen, von Zigaretten bis zu Energy Drinks, Haarschnitte anbieten oder Tee für 50 Cent (40p) oder Grundmahlzeiten für ein paar Euro in Behelfsrestaurants verkaufen.","Bei einer Gerichtsverhandlung diese Woche argumentierten die Behörden in Calais, dass der Staat befugt sein sollte, 72 provisorische Geschäfte niederzureißen, in denen Personen innerhalb des Lagers Waren, von Zigaretten bis Energydrinks, verkaufen, Friseurdienstleistungen anbieten oder Tee für 50 Cent (40 Pence) oder einfache Mahlzeiten für ein paar Euro in provisorischen Restaurants verkaufen.",1.10910099750817,17,LMU-nmt-reranked
But after months of open hostility - and given the potential for utter disaster when Nato member Turkey shot down that Russian fighter jet - it is surely better that the two leaders are at least talking again.,shot down,"Doch nach Monaten der offenen Feindseligkeit - und angesichts des Katastrophenpotenzials, als Nato-Mitglied Türkei den russischen Kampfjet schoss - ist es sicher besser, dass die beiden Führer wenigstens wieder reden.","Aber nach Monaten offener Feindseligkeiten - und angesichts des Potenzials für ein vollkommenes Disaster, als das NATO-Mitglied Türkei den russischen Kampfjet abschoss - ist es sicherlich besser, dass die zwei Staatschefs zumindest wieder miteinander reden.",1.24475737737332,17,LMU-nmt-reranked
But there are many other athletes preparing to line up on the start line at the Olympic Games in Rio despite having been involved in doping in the past.,line up,"Aber es gibt noch viele andere Athleten, die sich auf die Startlinie bei den Olympischen Spielen in Rio vorbereiten, obwohl sie in der Vergangenheit an Doping beteiligt waren.","Doch es gibt noch zahlreiche weitere Sportler, die trotz Doping-Vergangenheit bei den Olympischen Spielen in Rio an den Start gehen.",0.597195595525027,17,LMU-nmt-reranked
Carry out systematic checks on a person's nationality to ensure they are eligible to vote.,Carry out,"Durchführen Sie systematische Kontrollen der Staatsangehörigkeit einer Person, um sicherzustellen, dass sie wahlberechtigt sind.","Systematische Überprüfungen über die Nationalität einer Person durchzuführen, um sicherzustellen, dass sie wahlberechtigt sind.",1.20973705806517,17,LMU-nmt-reranked
"Current chairman, Breitbrunn's mayoress Gertrud Bühl (FW), looks back to when Ruper Göller was brought on as a water officer in 1985, and was promoted to Managing Director of the Association as soon as 1988.",brought on,"Aktuelle Vorsitzende, Breitbrunns Bürgermeisterin Gertrud Bühl (FW), blickt zurück, als Ruper Göller 1985 als Wasserbeamter ins Leben gerufen wurde und bereits 1988 zum Geschäftsführer des Vereins befördert wurde.","Die aktuelle Vorsitzende, Breitbrunns Bürgermeisterin Gertrud Bühl (FW), erinnerte daran, dass Rupert Göller 1985 als Wasserwart eingestellt und schon 1988 zum Geschäftsführer des Zweckverbandes ernannt wurde.",0.756711144595315,17,LMU-nmt-reranked
"Donald Trump wouldn't really mind if he lost the US presidential election in November: ""Either it'll work out, or I'll go on a long, long holiday,"" the Republican candidate said in an telephone interview with US television channel CNBC.",work out,"Donald Trump hätte nicht wirklich Sinn, wenn er die US-Präsidentschaftswahlen im November verloren hätte: ""Entweder wird es funktionieren, oder ich werde auf einen langen, langen Urlaub gehen"", sagte der republikanische Kandidat in einem Telefoninterview mit dem US-Fernsehsender CNBC.","Verliert Donald Trump die US-Präsidentschaftswahlen im November, wäre ihm das relativ egal: ""Letztlich wird es entweder klappen, oder ich habe einen sehr, sehr schönen, langen Urlaub"", sagte der Kandidat der Republikaner in einem Telefon-Interview mit dem US-Fernsehsenders CNBC.",-0.497156516116422,17,LMU-nmt-reranked
"Floor boards had been pulled up in the property, from which drugs had been dealt in the past",pulled up,"Bodenplatten waren in der Immobilie hochgezogen worden, von denen Drogen in der Vergangenheit behandelt worden waren","Es wurden in dem Anwesen, in dem in der Vergangenheit Drogen gehandelt wurden, die Holzdielen aufgerissen",-1.99804235664618,17,LMU-nmt-reranked
"He told BBC Scotland: ""The RBS brand will end up becoming our investor brand and the one that our staff are employed with, because we are now becoming much more a bank of brands.""",end up,"Er sagte der BBC Schottland: ""Die Marke RBS wird zu unserer Investorenmarke und dem, mit dem unsere Mitarbeiter beschäftigt sind, weil wir jetzt viel mehr zu einer Bank von Marken werden"".","Er teilte der BBC Scotland mit: ""Die Marke RSB wird zu unserer Investorenmarke sowie zu der Marke, unter der unsere Mitarbeiter beschäftigt sein werden, da wir jetzt mehr zu einer Bank von Marken werden.""",1.18692188805932,17,LMU-nmt-reranked
"If things don't work out with the presidential election, Donald Trump already has a plan B in place.",work out,"Wenn die Dinge bei der Präsidentschaftswahl nicht funktionieren, hat Donald Trump bereits einen Plan B.","Sollte es mit der Wahl zum US-Präsidenten nichts werden, hat Donald Trump schon eine Alternatividee.",0.932817422593748,17,LMU-nmt-reranked
"In addition to a fixed abode, internships, apprenticeships, school places, ""one-euro"" traineeship jobs and temporary jobs need to be found or set up for refugees and migrants.",set up,"Neben einem festen Aufenthalt müssen Praktika, Ausbildungsplätze, Schulplätze, ""Ein-Euro"" -trainingjobs und befristete Arbeitsplätze für Flüchtlinge und Migranten gefunden oder eingerichtet werden.","Neben einer festen Bleibe sind es Praktikumsplätze, Ausbildungsstellen, Schulplätze, Ein-Euro-Jobs und Aushilfstätigkeiten für Flüchtlinge und Migranten, die gefundnen oder eingerichtet werden müssen.",0.607022648352039,17,LMU-nmt-reranked
"It may be the case that they hunt down sleeping animals, or patrol on the ocean floor and look out for corpses that have sunk downwards from higher levels of water.",hunt down,"Es mag sein, dass sie schlafende Tiere jagen oder auf dem Meeresboden patrouillieren und nach Leichen schauen, die von höherem Wasserspiegel nach unten gesunken sind.","Möglicherweise jagen sie schlafende Tiere oder patrouillieren am Grund des Eismeeres und suchen Kadaver, die aus höheren Wasserschichten nach unten torkeln.",0.8370254691562268,17,LMU-nmt-reranked
"On the previous evening, Father Storost set the pilgrims off with a small celebration in St. Anna, blessed the pilgrims' cross and the pilgrims.",set off,"Am vergangenen Abend setzte Pater Storost die Pilger mit einer kleinen Feier in St. Anna ab, segnete das Kreuz der Pilger und die Pilger.","Am Abend zuvor sandte Pfarrer Storost die Pilger in einer kleinen Feier in St. Anna aus, segnete die Pilgerkreuze und erteilte den Pilgersegen.",0.813281151747804,17,LMU-nmt-reranked
"Opposite a Lidl, due to be pulled down soon, construction is already underway: by 2017, a building with large windows and 133 new apartments to rend is expected to be constructed.",pulled down,"Gegenüber einem Lidl, der bald zurückgezogen werden soll, ist der Bau bereits im Gange: Bis 2017 soll ein Gebäude mit großen Fenstern und 133 neuen Wohnungen gebaut werden.","Gegenüber von einem Lidl, der auch bald abgerissen werden soll, wird schon gebaut: Bis 2017 soll hier ein Haus mit hohen Fenstern und 133 neuen Mietwohnungen entstehen.",0.408712982547887,17,LMU-nmt-reranked
"Recently, there have been reports from several federal states pointing out contact between members of the ""Identitäre"" movement and AfD politicians.",pointing out,"Kürzlich gab es Berichte mehrerer Bundesländer, die den Kontakt zwischen Mitgliedern der ""Idstädter"" -bewegung und AFD-Politiker aufzeigen.","Zuletzt hatte es aus mehreren Bundesländern Berichte über Kontakte der ""Identitären"" zu AfD-Politikern gegeben.",-0.3045311500686455,17,LMU-nmt-reranked
"Residents in Bachsatzstraße, Steinlachstraße, Hafnerstraße and Weiherrain had to put up with more traffic noise because people were looking for ways to cut through, trusting their satnav more than the signage.",put up,"Anwohner in der Bachkatzstraße, Steinbachstraße, Hafnerstraße und Weiderain mussten mehr Verkehrslärm hinnehmen, weil die Menschen nach Möglichkeiten suchten, sich durchzuschneiden und ihren satnav mehr als die Beschilderung zu übernehmen.","Die Anwohner von Bachsatzstraße, Steinlachstraße, Hafnerstraße und Weiherrain hatten mit mehr Verkehrslärm zu kämpfen, weil sich viele Schleichwege suchten und eher ihrem Navi vertrauten als der Beschilderung.",-0.6741847414952971,17,LMU-nmt-reranked
"Sir Eric said: ""Last year's court ruling in Tower Hamlets was a wake-up call.",wake up,"Sir Eric sagte: ""Das Gerichtsurteil des letzten Jahres im Tower Hamlets war ein Weckruf.","Sir Eric sagte: ""Das Gerichtsurteil in Tower Hamlets vom letzten Jahr war ein Warnsignal.",1.14280005515609,17,LMU-nmt-reranked
