src,VPC_Candidate,mt,ref,score,year,system
"The 22-year-old victim had been drinking and had passed out on the road, the court heard.",passed out,"Der 22-Jährige hatte sich zum Trinken und hatte am Straßenrand vorbeigefahren, das Gericht hörte.","Das 22-jährige Opfer hatte getrunken und ist auf der Straße bewusstlos geworden, vernahm das Gericht.",1.62287403301419,2017,REFERENCE
"Sun tested positive for the stimulant trimetazidine at the Chinese championships in 2014, but only had to sit out for a three-month ban.",sit out,"Sun hat sich 2014 bei den chinesischen Meisterschaften positiv auf die stimulierende Trimetatzine bewährt, musste aber nur für ein dreimonatiges Verbot verzichten.","Sun war 2014 bei den chinesischen Meisterschaften positiv auf das Stimulans Trimetazidin getestet worden, musste aber nur eine dreimonatige Sperre absitzen.",1.37707956533788,2017,REFERENCE
"We've been losing out on so many world titles, so to win the Olympics again is just amazing.",losing out,"Wir sind auf so vielen Welttiteln verloren gegangen, um die Olympischen Spiele wieder zu gewinnen, ist nur erstaunlich.","Wir sind bei so vielen Welttiteln so schlecht weggekommen, dass es unglaublich war, wieder bei der Olympiade zu gewinnen.",1.34930179720262,2017,REFERENCE
Woman run over on Swiss motorway in apparent suicide,run over,Frau führt über schweizerische Autobahn im scheinbaren Selbstmord,Frau bei vermutlichem Selbstmord auf Schweizer Autobahn überfahren,1.40949953018436,2017,REFERENCE
"The 22-year-old victim had been drinking and had passed out on the road, the court heard.",passed out,"Der 22-Jährige hatte sich zum Trinken und hatte am Straßenrand vorbeigefahren, das Gericht hörte.","Das 22-jährige Opfer hatte getrunken und ist auf der Straße bewusstlos geworden, vernahm das Gericht.",1.40949953018436,2017,REFERENCE
I hope that this development will give some comfort to the neighbours and sends out a message that antisocial behaviour will not be tolerated.,sends out,"Ich hoffe, dass diese Entwicklung den Nachbarn einen gewissen Komfort verschafft und eine Botschaft sendet, dass antisoziales Verhalten nicht geduldet wird.","Ich hoffe, dass diese Entwicklung einigen Nachbarn Trost spenden wird und die Botschaft vermittelt, dass antisoziales Verhalten nicht toleriert wird.",1.38478199035282,2017,REFERENCE
"Well, it turns out that I've been presidential chief of staff for four years and eight months.",turns out,"Nun, es stellt sich heraus, dass ich vier Jahre lang Präsidentschaftsleiter war und acht Monate.","Wie es sich herausstellt, bin ich seit vier Jahren und acht Monaten Vorsitzender der russischen Präsidialverwaltung.",1.18692188805932,2017,REFERENCE
"VW took on the guarantee that fuel consumption, CO2 emissions or motor performance would not get worse as a result of the modification, and all vehicle values relevant to type approval would remain unchanged.",took on,"VW übernahm die Garantie, dass der Kraftstoffverbrauch, CO2-Emissionen oder Motorleistung infolge der Änderung nicht schlechter würden und alle Fahrzeugwerte, die für die Typgenehmigung relevant sind, unverändert bleiben würden.","VW hat die Garantie übernommen, dass bei Kraftstoffverbrauch, CO2-Emissionen oder Motorleistung nach der Umrüstung keine Verschlechterungen stattfinden und alle typgenehmigungsrelevanten Fahrzeugwerte unverändert Bestand haben.",1.37707956533788,2017,REFERENCE
Bulgaria's Prime Minister Bojko Borissow spoke up immediately to criticise the athlete.,spoke up,"Bulgariens Ministerpräsident Bojko Borissow sprach sich sofort an, um den Athlet zu kritisieren.",Bulgariens Ministerpräsident Bojko Borissow meldete sich umgehend mit Kritik an der Athletin zu Wort.,1.27826994710041,2017,REFERENCE
"In 2008, most malware programmes were still focused on sending out adverts.",sending out,2008 wurden die meisten Malware-Programme immer noch auf die Übertragung von Anzeigen konzentriert.,"2008 waren die meisten Malwareprogramme noch darauf ausgelegt, Werbung zu verschicken.",1.24475737737332,2017,REFERENCE
"Many of those suspected of carrying out the attacks on asylum centers were not viewed as criminals, politically motivated perpetrators or members of the far-right scene.",carrying out,"Viele der mutmaßlichen Übergriffe auf Asylzentren wurden nicht als Verbrecher, politisch motivierte Täter oder Mitglieder der rechtsextremen Szene angesehen.","Viele der Tatverdächtigen bei Attacken auf Asylunterkünfte seien vorher nicht als Kriminelle, politisch motivierte Straftäter oder Anhänger der rechten Szene bekannt gewesen.",1.24165133560936,2017,REFERENCE
"Even when the government shuts down access to Facebook and Twitter, as it frequently does, especially during protests, many people are still able to communicate via internet proxies that mask where they are.",shuts down,"Selbst wenn die Regierung Zugang zu Facebook und Twitter hat, wie es häufig tut, vor allem während der Proteste, sind viele Menschen immer noch in der Lage, über Internet-Proxies zu kommunizieren, in denen sie sind.","Selbst wenn die Regierung den Zugang zu Facebook und Twitter sperrt, was sie in regelmäßigen Abständen, vor allem bei Protesten, tut, können viele Leute noch immer über Internet-Proxies kommunizieren, die verbergen, wo sie sich aufhalten.",1.14801144278375,2017,REFERENCE
"Sir Eric made 50 recommendations to clean up the system, including banning political activists from handling postal ballot papers to stop ""vote harvesting.""",clean up,"Sir Eric machte 50 Empfehlungen, um das System zu sanieren, einschließlich des Verbots von politischen Aktivisten von der Behandlung der Briefwahl-Papiere, um die ""Abstimmung"" zu stoppen.","Sir Eric sprach 50 Empfehlungen aus, um das System zu säubern, einschließlich dem Verbot, dass politische Aktivisten Briefwahlunterlagen bearbeiten, um ""Wahlernten"" zu stoppen.",1.42181814949572,2017,REFERENCE
"At the same time, neither want to cut the USA off from international trade - they just want to protect American jobs better.",cut off,Gleichzeitig wollen sie die USA nicht aus dem internationalen Handel ziehen - sie wollen nur die amerikanischen Arbeitsplätze besser schützen.,Gleichzeitig wollen beide aber die USA nicht vom internationalen Handel isolieren - sondern einfach nur amerikanische Jobs besser schützen.,1.14801144278375,2017,REFERENCE
"Sun tested positive for the stimulant trimetazidine at the Chinese championships in 2014, but only had to sit out for a three-month ban.",sit out,"Sun hat sich 2014 bei den chinesischen Meisterschaften positiv auf die stimulierende Trimetatzine bewährt, musste aber nur für ein dreimonatiges Verbot verzichten.","Sun war 2014 bei den chinesischen Meisterschaften positiv auf das Stimulans Trimetazidin getestet worden, musste aber nur eine dreimonatige Sperre absitzen.",1.24475737737332,2017,REFERENCE
It is not clear how long prices will remain perked up for.,perked up,"Es ist nicht klar, wie lange die Preise eingehalten werden.","Unklar ist, wie nachhaltig die Preiserholung ist.",1.31592111393706,2017,REFERENCE
