src,VPC_Candidate,mt,ref,score,year,system
"""I think we still might take them up on it,"" Mr. Rodriguez said.",take up,"«Я думаю, мы все равно можем принять их на себя», - сказал мистер Родригес.","""Я думаю, что мы, возможно, согласимся на их предложение"", – сказал Родригез.",0.31738945341672853,17,online-B
"""It's either that they had no diverse representation of people of color on their staff to the point where they're able to make decisions like this,"" Ms. Zhu, who is Chinese-American, said, ""or they do have some people of color who are working there, but they're not on positions where they feel safe or comfortable to speak up.""",speak up,"«Или у них не было разнообразного представления о цветах в их штате, до такой степени, что они могли принимать такие решения», - говорит г-жа Чжу, которая является китайско-американкой, - «или у них есть люди с цветом, которые там работают, но они не находятся на тех позициях, где они чувствуют себя в безопасности или могут говорить».","Как писала Жу, которая сама является американкой китайского происхождения: ""Либо у них в штате не было достаточного количества небелых людей, которые могли бы принимать такие решения, либо у них работают небелые люди, но они не занимают такие должности, на которых можно безопасно и открыто высказываться"".",-0.4045923459109765,17,online-B
"""Shame on you,"" another post stated, pointing out that the hotel, located in the noble Kurfurstendamm street stands near a synagogue.",pointing out,"«Позор вам», - заявила другая почта, указав, что отель, расположенный на благородной улице Курфюрстендамм, стоит возле синагоги.","""Постыдились бы"", — говорилось в другом посте, где указывалось, что отель, расположенный на славной улице Kurfurstendamm, находится рядом с синагогой.",0.263472823957412,17,online-B
"""We woke up and the water kept on coming,"" Hansford said.",woke up,"«Мы проснулись, и вода продолжала поступать, - сказал Хансфорд.","""Мы проснулись, и вода продолжала наступать"", — сказал Хансфорд.",1.29570702055509,17,online-B
"""We're like their social workers!"" pipes up a co-worker from a stack of records.",pipes up,«Мы как их социальные работники!» Выворачивает коллегу из стопки записей.,"""Мы как их социальные работники!"", - заговорил коллега из стеллажа пластинок.",-1.90602883688679,17,online-B
'Everyone was staring as she took the knickers off again and obviously didn't like them because she put them back on the shelf.',took off,"«Все уставились, когда она снова сняла трикотаж и явно не понравилась им, потому что она вернула их на полку».","""Все уставились, когда она сняла трусики снова, и они ей явно не понравились, потому что она положила их обратно на полку"".",-0.9900307618033934,17,online-B
"'I'd hate to get home with a new pair of knickers and find another woman had put them on and taken them off again, and they hadn't been washed.'",put on,"«Мне очень не хотелось бы возвращаться домой с новой парой трусиков и найти другую женщину, которая надела их и снова сняла, и их не мыли».","""Не хотела бы я прийти домой с новой парой женских трусов и обнаружить, что другая женщина надела и сняла их, и они не были постираны"".",0.9347464657795154,17,online-B
"A generation who played the game when younger have joined the craze, jumping off the couch for the search.",jumping off,"Поколение, которое играло в игру, когда младшие присоединились к повадкам, спрыгнув с кушетки на поиски.","Поколение, которое играло в игру, будучи младше, присоединилось к повальному увлечению, оторвавшись от диванов для поиска.",-1.0336090479741875,17,online-B
"A knee to the groin follows, and while the attacker doubles up in pain, you twist the gun from his hands, smack him in the face with the barrel and back up, keeping the weapon trained on him.",doubles up,"Затем следует колено в пах, и, пока атакующий удваивает боль, вы выкручиваете пистолет из его рук, наносите ему по лицу бочку и возвращаетесь обратно, удерживая наготове оружие.","Затем следует колено в пах, и пока нападающий сгибается от боли, вы выкручиваете пистолет из его рук, бьете его в лицо стволом и отходите назад, держа оружие наведенным на него.",0.08602712790626772,17,online-B
A resident of Balakhna stands up for a woman by smashing in the head of her assailant with a brick,stands up,"Жительница Балахны стоит за женщиной, разбивая в голове ее нападавшего кирпичом","Житель Балахны заступился за женщину, проломив голову кирпичом ее обидчику",-1.26423378700714,17,online-B
"A woman lay down in the dark on the road ""in a desperate act"" and was hit by several vehicles, Vaud police said in a statement.",lay down,"Женщина легла в темноте на дороге «в отчаянном акте» и была сбита несколькими автомобилями, полиция Во сказала в заявлении.","Женщина легла на дорогу в темноте ""в жесте отчаяния"" и её ударили несколько транспортных средств, сообщила Во полиция в заявлении.",1.05563488339482,17,online-B
